speaker,utterance,emotion,annotation,temp
Joey,"Okay, but if I got to turn on the charm tomorrow I'm not wasting anymore of it over here with you guys.",neutral,3100001,"Training_Set"
Joey,"Yeah.",neutral,5000000,"Training_Set"
Joey,"That's not a bad idea.",neutral,4000010,"Training_Set"
Monica,"No sweetie, you've got to win over the guy that controls C.H.E.E.S.E.! You've got to kiss some serious robot ass!",neutral,3100010,"Training_Set"
Joey,"Thanks, but I kinda have a problem to deal with here.",fear,2003000,"Training_Set"
Monica,"Well y'know Joey, you're a pretty charming guy.",neutral,5000000,"Training_Set"
Joey,"What am I going to do?",fear,0023000,"Training_Set"
Joey,"I didn't know he could get me fired!",surprise,1000040,"Training_Set"
Joey,"Apparently, there's like a million guys out there that can play Mac, and there's only this one robot and this one guy who controls it!",surprise,1000031,"Training_Set"
Phoebe,"No look, I-I'm sure that people know you exist!","non-neutral",2002010,"Training_Set"
Phoebe,"Chandler?",neutral,4000010,"Training_Set"
Phoebe,"Yeah! Now, why do you want to kill yourself?","non-neutral",0010121,"Training_Set"
Phoebe,"No-no wait-wait! I can't just let you hang up! Just please talk to me.",fear,1004000,"Training_Set"
Joey,"Oh-ho, and mine!","non-neutral",1200020,"Training_Set"
Ross,"Hey, if you ever want to go out with Monica, you have my blessing.",neutral,3200000,"Training_Set"
Ross,"I mean after all we've been through, I just-y'know I wish I had a brother to reciprocate.",neutral,3200000,"Training_Set"
Ross,"I have to say you are a much bigger person than I am.",neutral,3200000,"Training_Set"
Rachel,"Oh so-so not really never.",neutral,3001010,"Training_Set"
Ross,"Yeah but after you said it was okay, I figured, ""Why not?!""","non-neutral",2200010,"Training_Set"
Rachel,"Really?!",surprise,1100030,"Training_Set"
Ross,"I mean, I-I-I think she's cute but I-I would never have thought of going out with her, never!","non-neutral",1001021,"Training_Set"
Ross,"I mean, wow!",surprise,1000040,"Training_Set"
Ross,"Oh wow!",surprise,0000050,"Training_Set"
Rachel,"Well yeah",neutral,5000000,"Training_Set"
Ross,"Did you tell your sister to ask me out?",neutral,3000020,"Training_Set"
Rachel,"Hi!",joy,0400010,"Training_Set"
Ross,"Rach? Hi!",joy,0400010,"Training_Set"
Joey,"Damnit!",anger,0000401,"Training_Set"
Joey,"But it really",neutral,4001000,"Training_Set"
Joey,"What? No-no it's her birthday!",surprise,1001030,"Training_Set"
Joey,"""Happy birthday to you!""",joy,0500000,"Training_Set"
Chandler,"Yes! Way to go, man!  Still got the egg, huh?",joy,0300020,"Training_Set"
Ross,"Hi. She said yes.",neutral,3200000,"Training_Set"
Joey,"You're doin' this.",neutral,5000000,"Training_Set"
Joey,"Look, you have not been out with a woman since Janice.",neutral,3000101,"Training_Set"
Joey,"Thanks.",neutral,3100010,"Training_Set"
Joey,"I'm thinkin', cha-ching!",joy,1400000,"Training_Set"
Joey,"I know, but-come on, man, she's needy, she's vulnerable.",neutral,3020000,"Training_Set"
Joey,"Pathetic mess?",neutral,3000002,"Training_Set"
Chandler,"Yes, I know, but her friend sounds like such a...","non-neutral",2000012,"Training_Set"
Joey,"The only reason she's goin' out with me is because I said I could bring a friend for her friend.","non-neutral",1011101,"Training_Set"
Joey,"No, no, no, don't you dare bail on me.",anger,0002300,"Training_Set"
Chandler,"Oh, uh, listen, about tonight...","non-neutral",2021000,"Training_Set"
Joey,"Actually, tomorrow night kinda depends on how tonight goes.",neutral,5000000,"Training_Set"
Chandler,"Well, I have an appointment to see Dr. Robert Pillman, career counselor a-gogo.  I added the ""a-gogo.""",neutral,3200000,"Training_Set"
Phoebe,"Where are you going, Mr. Suity-Man?",neutral,4000010,"Training_Set"
Rachel,"No. But don't worry, I'm sure they're still there.",neutral,5000000,"Training_Set"
Chandler,"Can you see my nipples through this shirt?",neutral,4001000,"Training_Set"
Joey,"Y'know, I don't really know her.",neutral,4001000,"Training_Set"
Rachel,"Doesn't she  look scared?",neutral,3001010,"Training_Set"
Rachel,"She looks scared.",neutral,3010010,"Training_Set"
Rachel,"Do you think my nipples are  too big for her mouth?",neutral,4000010,"Training_Set"
Rachel,"Oh look, she's pulling away again!","non-neutral",0120020,"Training_Set"
Joey,"Oh uh-uh yeah, I think that...",neutral,4000010,"Training_Set"
Rachel,"I'm sorry honey, what were you saying?",neutral,5000000,"Training_Set"
Joey,"Dear Lord.","non-neutral",2000021,"Training_Set"
Rachel,"Okay sweetie, you can do it. Just open up and put it in your  mouth.",neutral,5000000,"Training_Set"
Joey,"Yowsa!",surprise,0000050,"Training_Set"
Rachel,"Yeah! Hi Emma. Hey, why do you think she won't take my  breast?",neutral,4000010,"Training_Set"
Rachel,"Hey!",joy,2300000,"Training_Set"
Joey,"Yeah uh look Rach, there's something I gotta tell ya.",neutral,3002000,"Training_Set"
Rachel,"Of course! Oh Joey, this ring I...it's beautiful I love it!",joy,0500000,"Training_Set"
Joey,"Hey uh, is it okay to come in?",neutral,4001000,"Training_Set"
Phoebe,"I don't know.  A cowboy theme?",neutral,4000010,"Training_Set"
Rachel,"What?",neutral,3000020,"Training_Set"
Phoebe,"Lusts of the flesh.",neutral,3000002,"Training_Set"
Phoebe,"Okay, whatever.",disgust,1000004,"Training_Set"
Joey,"Hey! I","non-neutral",1000121,"Training_Set"
Phoebe,"I don't think you could ever do that.","non-neutral",1001102,"Training_Set"
Phoebe,"I'm just saying that only a man completely secure with his masculinity could walk around in women's underwear!","non-neutral",1100210,"Training_Set"
Joey,"Oh yeah, he looked like a real lumberjack in those pink lacys.",disgust,0000005,"Training_Set"
Phoebe,"There is nothing wrong with Jake! Okay? He is all man! I'm thinking even more than you.","non-neutral",0100202,"Training_Set"
Joey,"Yeah well next thing you know, he'll be telling you that your high heels are good for his posture!",disgust,0000005,"Training_Set"
Phoebe,"And! Y'know what Jake says? That women's underwear is actually more comfortable. And he loves the way the silk feels against his skin.",joy,0300020,"Training_Set"
Joey,"Yeah, I wouldn't know about that.",neutral,5000000,"Training_Set"
Phoebe,"I think so too. And that little flap? Great for holding my lipstick.",joy,1300010,"Training_Set"
Joey,"That's...kinda hot.","non-neutral",1200020,"Training_Set"
Phoebe,"I'm wearing his briefs right now.",neutral,5000000,"Training_Set"
Joey,"That's weird!",disgust,0000014,"Training_Set"
Phoebe,"No, it's not! We were just goofing around and I dared him to try them on.",neutral,3000110,"Training_Set"
Joey,"Oh.  No! No wait, that's weird!",disgust,0000005,"Training_Set"
Phoebe,"I know. They were mine.",neutral,5000000,"Training_Set"
Joey,"Well, when Jake did it I saw that...he was wearing women's underwear!",surprise,0000041,"Training_Set"
Phoebe,"Yeah!","non-neutral",0200012,"Training_Set"
Joey,"Listen, you know how uh, when you're wearing pants and you lean forward I check out your underwear?",neutral,5000000,"Training_Set"
Phoebe,"Hey!",joy,0300020,"Training_Set"
Joey,"Pheebs!",joy,0300020,"Training_Set"
Joey,"Anybody gonna eat that?",neutral,4100000,"Training_Set"
Phoebe,"Exactly! Because it's in the past!","non-neutral",1210100,"Training_Set"
Rachel,"Pheebs, I don't think anyone's mad about that.",neutral,5000000,"Training_Set"
Monica,"Hmm?",neutral,5000000,"Training_Set"
Rachel,"Thank you.  Mon?",neutral,4100000,"Training_Set"
Monica,"Thanks.",neutral,4100000,"Training_Set"
Chandler,"Oh no, you'll have to come.",fear,2003000,"Training_Set"
Ross,"So you're strong enough to face her on your own?",neutral,5000000,"Training_Set"
Chandler,"No!",anger,0002300,"Training_Set"
Ross,"You need me to go down there with you and hold your hand?",neutral,3000002,"Training_Set"
Chandler,"Oh Maria. You can't say no to her, she's like this lycra spandex covered gym...treat.",joy,1310000,"Training_Set"
Ross,"Who is Maria?",neutral,4000010,"Training_Set"
Chandler,"You don't think I've tried? You think I","non-neutral",1020020,"Training_Set"
Ross,"So why don't you quit?",neutral,5000000,"Training_Set"
Chandler,"Oh yeah, gym member. I try to go four times a week, but I've missed the last 1200 times.",neutral,5000000,"Training_Set"
Monica,"My God! Is this a gym card?",surprise,0000041,"Training_Set"
Joey,"All right that's it, school is in session!",neutral,3000200,"Training_Set"
Rachel,"That's easy for you to say, you weren't almost just killed.",anger,0001400,"Training_Set"
Monica,"Joey, please don't do that. I think it's best that we just forget about it.",fear,0023000,"Training_Set"
Joey,"I'm gonna go down there and teach that guy a lesson.",anger,0000500,"Training_Set"
Rachel,"Yes! And he said really mean things that were only partly true.",sadness,1130000,"Training_Set"
Joey,"Whoa-whoa, Treeger made you cry?",surprise,0000050,"Training_Set"
Phoebe,"That's fun.",joy,2300000,"Training_Set"
Joey,"Tequila!!",joy,0500000,"Training_Set"
Joey,"Hey-hey, Pheebs, check it out, we already learned a song.  Ready? One, two, three, four...",neutral,3100010,"Training_Set"
Phoebe,"So, yay!",joy,0400010,"Training_Set"
Phoebe,"All right, okay, well, apparently not!","non-neutral",2100020,"Training_Set"
Phoebe,"Y'know, I was worried, that, you know, they would maybe an unbearable living situation.",neutral,3002000,"Training_Set"
Phoebe,"That's, that's great!",joy,0500000,"Training_Set"
Phoebe,"So you like the drums!",joy,1300010,"Training_Set"
Rachel,"Ha!",neutral,3100010,"Training_Set"
Joey,"Well, I said that I",neutral,5000000,"Training_Set"
Joey,"But believe me, that's not gonna happen today.",neutral,3110000,"Training_Set"
Joey,"It was so stupid, I said some stuff in an interview that I shouldn't have said.","non-neutral",2011001,"Training_Set"
Joey,"I'll take those to go.  For the kids.",neutral,4100000,"Training_Set"
Joey,"Uhh, I don't believe in these crazy diets y'know, just everything in moderation.",neutral,4000001,"Training_Set"
Joey,"All right, what are we havin'?",neutral,5000000,"Training_Set"
Rachel,"Hey, come on now!","non-neutral",1100021,"Training_Set"
Chandler,"Stick to your side!","non-neutral",2200100,"Training_Set"
Rachel,"Oh! Yay! Look! There's a piece that doesn't have floor on it!",joy,1300001,"Training_Set"
Joey,"I'm not listening to you!",anger,0000500,"Training_Set"
Rachel,"I know, I know! I just can't keep this one in, so I pick up the phone","non-neutral",2120000,"Training_Set"
Joey,"And you're not supposed to be gossiping!!",disgust,0010103,"Training_Set"
Rachel,"What? What secrets? You know secrets? What are they?",surprise,0000050,"Training_Set"
Joey,"I don't care, Rach! Look, I am tired of being the guy who knows all the secrets but can't tell anyone!",disgust,0000203,"Training_Set"
Rachel,"Yes! Yes! Yes, you do want to know! This is unbelievable!","non-neutral",0200120,"Training_Set"
Joey,"Oh no, no-no-no-no! I don't want to know!","non-neutral",0002012,"Training_Set"
Rachel,"Oh my God, it's so huge, but you just have to promise me that you cannot tell anyone.",surprise,0002030,"Training_Set"
Joey,"What-what is it, what is it?",neutral,3000110,"Training_Set"
Rachel,"Okay. Okay. Okay. Joey, I have","non-neutral",1102001,"Training_Set"
Joey,"Oh well, you're timing couldn't be better. I am putting out fires all over the place.",neutral,3200000,"Training_Set"
Rachel,"Oh, Joey, I have such a problem!",fear,0013010,"Training_Set"
Joey,"Uh, Rachel's here, so good luck man, let me know how it works out.","non-neutral",2001020,"Training_Set"
Ross,"Dude, what am I gonna",fear,0013010,"Training_Set"
Rachel,"Joey, do you have a minute?",neutral,4001000,"Training_Set"
Joey,"Well, I'm just-if the paste matches the pants, you can make yourself a pair of paste pants and she won't know the difference!","non-neutral",2100110,"Training_Set"
Ross,"What difference does that make?!",anger,0000401,"Training_Set"
Joey,"Of course!!","non-neutral",2100200,"Training_Set"
Chandler,"You slept with the stripper?",surprise,0010040,"Training_Set"
Joey,"I wake up this morning, the stripper's gone and the ring is gone!","non-neutral",0000221,"Training_Set"
Joey,"I go to bed last night, everything's cool!","non-neutral",2101010,"Training_Set"
Joey,"What am I gonna do?!",fear,0014000,"Training_Set"
Joey,"Dude, this isn't funny!",anger,0001301,"Training_Set"
Chandler,"You're the worst best man ever!",anger,0100301,"Training_Set"
Chandler,"You lost the ring!","non-neutral",0100211,"Training_Set"
Chandler,"Just a sec, give me a minute to wake up for this-Ah-ha-ha!!","non-neutral",2100020,"Training_Set"
Chandler,"Ugh.",disgust,0000104,"Training_Set"
Joey,"The ring is gone!",surprise,0011030,"Training_Set"
Chandler,"What?",surprise,1000040,"Training_Set"
Joey,"The stripper stole the ring!! The stripper stole the ring!! Chandler! Chandler, get up! Get up! The stripper stole the ring!",surprise,0001130,"Training_Set"
Joey,"Oh, I'm sorry. You wanna bite?",surprise,0020030,"Training_Set"
Ross,"How rude.",disgust,0000014,"Training_Set"
Chandler,"Oh well, we don't because we got...the...other pl-place.",neutral,3000110,"Training_Set"
Ross,"Oh perfect, we were just gonna see if you wanted to go.",neutral,3200000,"Training_Set"
Phoebe,"Yeah, coffeehouse.",neutral,3100010,"Training_Set"
Chandler,"Oh all right.",neutral,4000001,"Training_Set"
Phoebe,"Hey! So Chandler, wanna go to the coffeehouse?","non-neutral",2200010,"Training_Set"
Chandler,"Hey.",neutral,5000000,"Training_Set"
Joey,"Hey.",neutral,4000010,"Training_Set"
Chandler,"Me too.",neutral,3010001,"Training_Set"
Phoebe,"Yeah well, once again not knocking pays off. I only wish you hadn't been on the toilet.",surprise,1100030,"Training_Set"
Chandler,"Well, it's because I trust you, you're one of my best friends, and you walked in on me when I was looking at ring brochures.","non-neutral",2101010,"Training_Set"
Phoebe,"You told me.",surprise,1100030,"Training_Set"
Chandler,"No, I don't want to tell anybody else because I don't want Monica to find out.",neutral,3002000,"Training_Set"
Phoebe,"Now, have you told anyone else?",neutral,5000000,"Training_Set"
Chandler,"Paper cut!","non-neutral",0120110,"Training_Set"
Chandler,"Should I get her a  Tiffany cut or a Princess cut or a-ah-ah!","non-neutral",0101120,"Training_Set"
Chandler,"It's so hard!","non-neutral",1020101,"Training_Set"
Chandler,"I can't figure this out!","non-neutral",1010201,"Training_Set"
Chandler,"Pheebs, can you help me pick out an engagement ring for Monica?",neutral,3200000,"Training_Set"
Phoebe,"No-No! You need your sleep. Night-night! Shh!","non-neutral",2000201,"Training_Set"
Joey,"Ooh, I'll play! I'll play!",joy,0500000,"Training_Set"
Phoebe,I,neutral,5000000,"Training_Set"
Phoebe,"Do you like car games?",neutral,5000000,"Training_Set"
Phoebe,"Y'know what? I'm not talking to you! You go back to sleep!  And you, are you a rapist?!",anger,0000311,"Training_Set"
Joey,"Don't you think I asked him that before he got in?!",surprise,0000140,"Training_Set"
Phoebe,"How could you pick up a hitchhiker?! He could be a rape-, a rapist or a killer or something!",fear,0004100,"Training_Set"
Joey,"Nah.",neutral,5000000,"Training_Set"
Joey,"Uhh....",neutral,4001000,"Training_Set"
Joey,"Huh.",neutral,4000010,"Training_Set"
Rachel,"Ohh, you're so sweet!",joy,0500000,"Training_Set"
Rachel,"Ohh, and the nicest girlfriend!",joy,2300000,"Training_Set"
Rachel,"Whoa!  Y'know what Katie? I gotta tell ya I-I-I-I think you are the one who is too much.",surprise,1000130,"Training_Set"
Rachel,"Well, I brought the next best thing.",neutral,5000000,"Training_Set"
Ross,"Oh great! What, you brought Joey?",joy,0300011,"Training_Set"
Rachel,"Hey Ross! I brought reinforcements.",joy,2300000,"Training_Set"
Ross,"Come here to me. No-no, you come here to me.",neutral,4000100,"Training_Set"
Monica,"It's actually going to be just family.",neutral,4001000,"Training_Set"
Chandler,"We're not even sure why we're having it.",neutral,3010010,"Training_Set"
Chandler,"Uh, tiny!",surprise,2000030,"Training_Set"
Chandler,"Um, it's going to be a small ceremony.",neutral,4001000,"Training_Set"
Chandler,"Well actually uh, there was something we wanted to tell you about the wedding.",neutral,4001000,"Training_Set"
Monica,"Is that all?",neutral,3000020,"Training_Set"
Monica,"He might still show up.",neutral,5000000,"Training_Set"
Phoebe,"No, just a regular old flying dwarf.",neutral,3200000,"Training_Set"
Rachel,"Wow. Well, I guess it was Cupid who brought her here.","non-neutral",2100020,"Training_Set"
Joey,"Hey, thank you so much.",joy,1400000,"Training_Set"
Rachel,"Yeah, see ya.",neutral,5000000,"Training_Set"
Chandler,"Because it says ""Captain Ross"" on the side and ""I hate Monica"" on the bottom.","non-neutral",1100012,"Training_Set"
Ross,"Why not?",neutral,3000020,"Training_Set"
Chandler,"Wait a minute, I can't give this to her.","non-neutral",2012000,"Training_Set"
Ross,"But you-you-you could write that umm, your love lets me orbit the moon twice and return safely.","non-neutral",1202000,"Training_Set"
Ross,"Yeah-yeah, except Apollo 8 didn't actually land on the moon.",neutral,4000001,"Training_Set"
Chandler,"Yeah, I guess I could use that. I could say that your love sends me to the moon.",neutral,4100000,"Training_Set"
Ross,"I made it in the sixth grade.",neutral,4000001,"Training_Set"
Ross,"Uh, it's an exact replica of Apollo 8.","non-neutral",1000022,"Training_Set"
Ross,"She'd-she'd love this.",neutral,4100000,"Training_Set"
Ross,"Y'know what?",neutral,5000000,"Training_Set"
Chandler,"I'm going crazy! Okay? Do you have any thing around here that looks homemade?",fear,1003100,"Training_Set"
Ross,"Oh, why don't you make her one of your little jokes.","non-neutral",2200001,"Training_Set"
Chandler,"I can't figure out what to make Monica.",neutral,5000000,"Training_Set"
Ross,"What's up?",neutral,5000000,"Training_Set"
Chandler,"Okay, are you aware unagi  is an eel?","non-neutral",2100020,"Training_Set"
Ross,"Unagi. I'm always aware.",neutral,5000000,"Training_Set"
Chandler,"What?!",surprise,0000050,"Training_Set"
Ross,"Chandler. I sensed it was you.",neutral,3100010,"Training_Set"
Chandler,"Hey.",neutral,5000000,"Training_Set"
Phoebe,"I did, but that was really fun.",joy,2300000,"Training_Set"
Monica,"Well you should be embarrassed.",disgust,1000004,"Training_Set"
Monica,"Op, can I just tell you something? Very flattered but umm, I'm engaged.","non-neutral",2010110,"Training_Set"
Phoebe,"But no: Chandler is in an accident and can't perform sexually and he would want you to take a lover to satisfy the needs that he can no longer fulfill.",neutral,3020000,"Training_Set"
Phoebe,"I'm just saying, get his number just in case.",neutral,4100000,"Training_Set"
Monica,"Phoebe, I'm engaged!",surprise,0000140,"Training_Set"
Phoebe,"Go for it.",neutral,3200000,"Training_Set"
Monica,"Really?  My God, he's really cute.",surprise,0100040,"Training_Set"
Phoebe,"Oh my God! That guy at the counter is totally checking you out!",surprise,0000050,"Training_Set"
Chandler,"Janice. Hi, Janice. Ok, here we go. I don't think we should go out anymore. Janice.",sadness,2030000,"Training_Set"
Phoebe,"Just do it really fast, and then the wound is exposed.",neutral,3001001,"Training_Set"
Phoebe,"It's just like pulling off a Band-aid.",neutral,3001001,"Training_Set"
Phoebe,"Ok, you can do this.",neutral,3101000,"Training_Set"
Phoebe,"All right, stop it. Now you're just doing it to freak me out.","non-neutral",1101110,"Training_Set"
Phoebe,"Well umm, do you wanna get something to eat? I'm kinda hungry.",neutral,5000000,"Training_Set"
Phoebe,"Uh-huh, well! But umm, still I'm-I'm mad at you.",anger,1000400,"Training_Set"
Phoebe,"Wait-wait-wait, wait! Puppies. Cute or ugly?",neutral,5000000,"Training_Set"
Phoebe,"Oh my God, so do I!",surprise,2000030,"Training_Set"
Phoebe,"Well, are any of those people here?!",anger,1000301,"Training_Set"
Ross,"Uh, Pheebs, some people call that breaking and entering.",fear,1004000,"Training_Set"
Phoebe,"Well, she's out of town so, there's gotta be something in her house that tells me where my Father is.",neutral,4000100,"Training_Set"
Chandler,"Where ya going?",neutral,4000010,"Training_Set"
Rachel,"Aww Pheebs, that sucks!",sadness,0040010,"Training_Set"
Phoebe,"She knows, and she won't tell me.",sadness,0040100,"Training_Set"
Phoebe,"She's avoiding me, she doesn't want to tell me where my Father is.",sadness,0030101,"Training_Set"
Phoebe,"Yeah, she clamed she had to go out of town suddenly.",sadness,2030000,"Training_Set"
Joey,"What?!",surprise,0000050,"Training_Set"
Phoebe,"She cancelled! My namesake cancelled on me!","non-neutral",0020120,"Training_Set"
Joey,"What's the matter, Pheebs?",neutral,5000000,"Training_Set"
Ross,"MY SANDWICH!!!!!!",anger,0001301,"Training_Set"
Ross,"MY SANDWICH?!!!","non-neutral",0001202,"Training_Set"
Ross,"You-you-you-you  threw my sandwich away!","non-neutral",0001202,"Training_Set"
Chandler,"Fine! Maybe I will too!",joy,1300100,"Training_Set"
Monica,"Umm, actually I was about to tell you that I was, I was going to get out of it, but hey, if we're just goofing around then uh, maybe I",neutral,3010010,"Training_Set"
Chandler,"I mean, you and I we're just, y'know, we're nothing, we're goofin' around.",neutral,4000010,"Training_Set"
Chandler,"Yeah, Joey already told me, and I am so-so fine.",neutral,4000010,"Training_Set"
Chandler,"Oh, is this about you-you dating the nurse?",surprise,2000030,"Training_Set"
Monica,"Umm, listen there's something I think you should know.",neutral,3011000,"Training_Set"
Chandler,"Oh-hey-hey-hey! There you are!",joy,0500000,"Training_Set"
Joey,"Terrified.",fear,1004000,"Training_Set"
Rachel,"Aren't you scared?","non-neutral",0002021,"Training_Set"
Rachel,"Seriously, how can you watch this?","non-neutral",0002012,"Training_Set"
Rachel,"Oh.",neutral,4001000,"Training_Set"
Rachel,"I can't watch!",fear,0103001,"Training_Set"
Rachel,"Oh my God....What's he gonna do now?",fear,1003010,"Training_Set"
Joey,"All right, I know! I know. Yeah, it'll be okay.",joy,1300010,"Training_Set"
Chandler,"Let's.",neutral,5000000,"Training_Set"
Rachel,"!",anger,0000401,"Training_Set"
Rachel,"Get out!",anger,0000401,"Training_Set"
Rachel,"Get out!!",anger,0000401,"Training_Set"
Rachel,"Get out!!",anger,0000401,"Training_Set"
Rachel,"Oh God, get out!",anger,0000401,"Training_Set"
Rachel,"Can you tell it to me when you're getting me some iced tea?","non-neutral",2000210,"Training_Set"
Rachel,"Oh Phoebe, that's a great story.",neutral,3100100,"Training_Set"
Phoebe,"Oh I know, I've been there. I remember toward the end",neutral,5000000,"Training_Set"
Rachel,"God.  I have never been so uncomfortable in my entire life!","non-neutral",2000201,"Training_Set"
Ross,"And then also umm, I'd be far away in the sea.","non-neutral",2210000,"Training_Set"
Ross,"Because with seahorses it's the male, they carry the babies.",neutral,4100000,"Training_Set"
Ross,"I mean I wish I were a seahorse.",neutral,3020000,"Training_Set"
Ross,"Look, I-I know how miserable you are, I wish there was something I can do.",neutral,3011000,"Training_Set"
Rachel,"You. Like you haven't done enough.",anger,1000301,"Training_Set"
Ross,"Uh sweetie, maybe you'd be more comfortable here?",neutral,3002000,"Training_Set"
Rachel,"That's right, still no baby!  Come on people! Please make some room!","non-neutral",2000201,"Training_Set"
Monica,"I'm Joan Collins.",disgust,2000003,"Training_Set"
Monica,"I'm like those women that you see with shiny guys named Chad.",disgust,1000004,"Training_Set"
Monica,"Oh god, oh god.","non-neutral",1001102,"Training_Set"
Monica,"You know, you shouldn't even be here, it's a school night.",anger,1000301,"Training_Set"
Monica,"Well,fall out of it.",anger,1000301,"Training_Set"
Monica,"Really?",surprise,1000031,"Training_Set"
Monica,"Don't say it.",fear,1003100,"Training_Set"
Monica,"Well, that's different. My lie didn't make one of us a felon in 48 states. What were you thinking?",disgust,1000103,"Training_Set"
Monica,"Ethan, focus. How could you not tell me?",surprise,2000030,"Training_Set"
Monica,"What we did was wrong. Oh god, I just had sex with somebody that wasn't alive during the Bicentennial.",disgust,0000014,"Training_Set"
Phoebe,"Damn you Monica Geller hyphen Bing!",anger,0100301,"Training_Set"
Monica,"Haha!",joy,0400010,"Training_Set"
Monica,"Phoebe come here",neutral,3000200,"Training_Set"
Phoebe,"Oh yeah.","non-neutral",1001120,"Training_Set"
Monica,"I'll go in there.",anger,1000400,"Training_Set"
Phoebe,No,anger,1000400,"Training_Set"
Monica,"Give it to me!",anger,0000500,"Training_Set"
Phoebe,"You can't have it.",anger,0000500,"Training_Set"
Monica,"No, no! Give it to me!","non-neutral",0002210,"Training_Set"
Monica,"Phoebe, where's your purse?","non-neutral",2001020,"Training_Set"
Chandler,"I haven't... I haven't even thought about the results yet...    I just assumed that everything was gonna be ok.","non-neutral",0022010,"Training_Set"
Chandler,"Yeah! yeah... The hard part is over!",joy,0400010,"Training_Set"
Chandler,"You're not... gone?",surprise,0000140,"Training_Set"
Chandler,"Janice!",surprise,0100130,"Training_Set"
Chandler,"Really helped speed the process along!",joy,0400100,"Training_Set"
Chandler,"My specimen is in the    room and I just want to thank whoever knocked on the door while I was in there.","non-neutral",0200201,"Training_Set"
