id,"i_dialog","i_utterance",speaker,utterance
1572,148,1,Richard,"Just the last two pages."
1571,148,0,Joey,"Oh man! They-they just redid my make-up!"
1570,147,14,Chandler,"Okay, so, I'm in Las Vegas..."
1569,147,13,Rachel,"Ugh.  Excuse me, could you give this to that guy over there?  Go ahead.  Thank you.  Sorry.? Okay, Las Vegas."
1568,147,12,Chandler,"Kids, new dream... I'm in Las Vegas."
1567,147,11,All,"Yeah. Yeah, I'll have a cup of coffee."
1566,147,10,Rachel,"I'm just serving it."
1565,147,9,Chandler,"Did you make it, or are you just serving it?"
1564,147,8,Rachel,"Would anybody like more coffee?"
1563,147,7,Ross,"There's an image."
1562,147,6,Joey,"Oh, you wouldn't know a great butt if it came up and bit ya."
1561,147,5,Monica,"I said that you had a nice butt, it's just not a great butt."
1560,147,4,All,"Yes!"
1559,147,3,Phoebe,"Oh, was I doing it again?"
1558,147,2,Monica,"Would you stop?"
1557,147,1,Monica,"What? I-I said you had a-"
1556,147,0,Joey,"I can't believe what I'm hearing here."
1555,146,18,Rachel,"EHHHHHHHHHHH!!!!!!! My God!!!!!!!!!!! Oh my God!!!!!!!"
1554,146,17,Ross,"I-I-am?"
1553,146,16,Rachel,"No you guys"
1552,146,15,Ross,"Wait! No! Ben, come here! I am"
1551,146,14,Rachel,"No! Wait! Come on!"
1550,146,13,Ross,"All right, that?s it!  Come?you?no! You are in big trouble young man!"
1549,146,12,Ben,"What did we just finish talking about Ben?!"
1548,146,11,Rachel,"Oh I"
1547,146,10,Ross,"What?  That?s great. That is great.  What did we just finish talking about Ben?!"
1546,146,9,Rachel,"I can?t let him go out that way, he?s got a meeting.  You?ve got something here on your back."
1545,146,8,Ross,"What?"
1544,146,7,Rachel,"Ohh, okay.  Wh?Ah-ha!  Wait a minute. Uh Ben, I can?t do it."
1543,146,6,Ross,"Okay, I?ll see you later pal."
1542,146,5,Rachel,"Ohhh! Well of course I will watch him! We have fun, don?t we Ben?"
1541,146,4,Ross,"And-and he-he asked for his uh, ?Fun Aunt? Rachel, so"
1540,146,3,Ross,"I-I?ve got this meeting at school."
1539,146,2,Ross,"Hey I?m sorry to do this to you again but uh, is there any way you can look after Ben for a little bit?"
1538,146,1,Rachel,"Hey!"
1537,146,0,Ross,"Hey!"
1536,145,18,Rachel,"Yes."
1535,145,17,Ross,"I was barefoot. Now tell me, the toilet thing is the only thing you taught him right?"
1534,145,16,Rachel,"Oh, come on!"
1533,145,15,Melissa,"She didn?t."
1532,145,14,Rachel,"Thank you Phoebe."
1531,145,13,Phoebe,"Okay, if-if you say that you kissed Melissa, then you kissed Melissa."
1530,145,12,Phoebe,"All right?"
1529,145,11,Phoebe,"I believe you."
1528,145,10,Phoebe,"You don?t have to do this."
1527,145,9,Phoebe,"Rachel, it?s okay."
1526,145,8,Rachel,"No!!"
1525,145,7,Melissa,"Maybe I passed out and you did stuff to me while I was sleeping."
1524,145,6,Melissa,"I mean if I thought it happened I would say it."
1523,145,5,Melissa,"I?m sorry Ray-ray."
1522,145,4,Rachel,"Yeah?but come on?Listen, I?m sorry I don?t want to make you uncomfortable, but I told Phoebe that it happened and she doesn?t believe me."
1521,145,3,Phoebe,"Oh, somewhere Joey?s head is exploding."
1520,145,2,Rachel,"Wh? Come on! Remember? We were on the sleeping porch! We couldn?t stop giggling? And our coconuts kept knockin? together?"
1519,145,1,Melissa,"I don?t know. I don?t remember a lot of things that never happened."
1518,145,0,Rachel,"How can you not remember us kissing?!"
1517,144,14,Ross,"No!"
1516,144,13,Rachel,"Am I"
1515,144,12,Ross,"Okay. Sure."
1514,144,11,Rachel,"Y?know what, I-I have to go talk to her, would you let me just get changed?"
1513,144,10,Ross,"And so do I."
1512,144,9,Rachel,"I care!"
1511,144,8,Ross,"Oh, who cares?"
1510,144,7,Rachel,"Come on! Serious-ser-ser-seriously, what did she mean by that?  Especially you!"
1509,144,6,Ross,"Still thinking about it huh?"
1508,144,5,Rachel,"We were both out there kissing."
1507,144,4,Rachel,"I mean, why not especially you and me?"
1506,144,3,Rachel,"What do you think Monica meant when she said she didn?t want to talk, especially with me?"
1505,144,2,Ross,"Hey, I just realized we kinda left some stuff up in the air"
1504,144,1,Rachel,"Hey."
1503,144,0,Ross,"Guess who?"
1502,143,14,Joey,"Well?I got a head rush from standing up too fast right there."
1501,143,13,Phoebe,"Ahhh!!"
1500,143,12,Rachel,"I get to hire my own assistant!"
1499,143,11,Monica,"Oooh!"
1498,143,10,Joey,"I?ll be playing Drake Ramoray?s twin brother, Stryker!"
1497,143,9,Phoebe,"Oh hey!"
1496,143,8,Phoebe,"Oh my god! Where are you?"
1495,143,7,Monica,"He's black and white and shaggy and [Cut to Monica?s apartment] he's sitting next to Rachel and licking Rachel's hand."
1494,143,6,Monica,"Yes there is!"
1493,143,5,Phoebe,"No, there's no dog here?"
1492,143,4,Chandler,"Tell her, I'm allergic, and I will sue!"
1491,143,3,Monica,"Phoebe, there's a dog sitting on my couch!"
1490,143,2,Phoebe,"I'm sorry, who's this?"
1489,143,1,Monica,"Phoebe, why is there a dog in our apartment?"
1488,143,0,Phoebe,"Hi Geller-Bing residence. How can I help?"
1487,142,17,Rachel,"Alright, c'mon!  Let's play"
1486,142,16,Monica,"Uh- Rachel has left the building, can you call back?"
1485,142,15,Rachel,"So if that sounds like I'm okay, okay, then you can tell them I'm okay, okay?"
1484,142,14,Rachel,"And it's not even for me!"
1483,142,13,Rachel,"Well, let's see, the FICA guys took all my money, everyone I know is either getting married, or getting promoted, or getting pregnant, and I'm getting coffee!"
1482,142,12,Rachel,"Okay.. they wanna know if I'm okay, okay, let's see."
1481,142,11,Rachel,"They wanna know if I'm okay."
1480,142,10,Monica,That
1479,142,9,Rachel,"But I haven't used my card in weeks!"
1478,142,8,Monica,"Um, they say there's been some unusual activity on your account."
1477,142,7,Monica,"Yes, hold on."
1476,142,6,Monica,"Could you please tell me what this is in reference to?"
1475,142,5,Rachel,"Oh, God, ask them what they want."
1474,142,4,Monica,"Uh, Rach, it's the"
1473,142,3,Phoebe,"Ooh! Ooh! And I brought"
1472,142,2,Monica,"We got some trashy magazines, we got cookie dough, we got"
1471,142,1,Monica,"We thought since Phoebe was staying over tonight we'd have kinda like a slumber party thing."
1470,142,0,Rachel,"Okay."
1469,141,18,Joey,"Yeah, I was auditioning for a play and the producer fell asleep and...  no wait a minute... it was"
1468,141,17,Joey,"Wait a minute, this happened to me before!"
1467,141,16,Joey,"Oh!"
1466,141,15,Joey,"That's a tough one."
1465,141,14,Joey,"Uh!"
1464,141,13,Ross,"I can't! If he realizes that"
1463,141,12,Joey,"Well, just wake him up!"
1462,141,11,Ross,"In fact he was just talking in his sleep before and evidently he wants someone named Fran to spank him harder."
1461,141,10,Ross,"He's out cold!"
1460,141,9,Ross,"What am I supposed to do?"
1459,141,8,Joey,"Fine, I'll rent a car and drive...! Ross, you have to get that job!"
1458,141,7,Ross,"Barbados."
1457,141,6,Joey,"What!? But I already bought my ticket to Bermuda!"
1456,141,5,Ross,"It could be better! He, uhm... he fell asleep!"
1455,141,4,Joey,"Oh! How's it going?"
1454,141,3,Ross,"I'm meeting with professor Sherman about my being the keynote speaker..."
1453,141,2,Joey,"No. no... eh... she went shopping with Rachel. Why? What's up?"
1452,141,1,Ross,"Joey! Hey, I need to talk to Charlie. Is she there?"
1451,141,0,Joey,"Hello?"
1450,140,16,Phoebe,"No.  Oh wait yes! I do, I do have one question. What is toner?"
1449,140,15,Supervisor,"So, I think you?re ready to sell toner, do you have any last questions?"
1448,140,14,Phoebe,"Oh."
1447,140,13,Supervisor,"They?re always going to tell you they don?t need toner, but that?s okay because whatever they say, you can find the answer to it here in this script."
1446,140,12,Phoebe,"Oh well, all right?um, no offense, but you were kind of rude."
1445,140,11,Supervisor,"Okay, what was wrong with that call?"
1444,140,10,Phoebe,"Oh okay, well I?m sorry to bother you. Bye-bye.  Yeah you?re right, this is easy."
1443,140,9,Supervisor,"We don?t need any toner."
1442,140,8,Chandler,"Wow that?s actually pretty cool."
1441,140,7,Ross,"In the biggest library in the university!"
1440,140,6,Ross,"Yeah, it?s right-it?s right down here!"
1439,140,5,Ross,"It?s here!"
1438,140,4,Ross,"My doctoral dissertation!"
1437,140,3,Ross,"Okay, okay, I was typing names into the library computer earlier, y?know-y?know for fun, and I typed mine in and guess what came up?"
1436,140,2,Chandler,"The hot chicks?"
1435,140,1,Ross,"Okay, okay take a guess."
1434,140,0,Chandler,"Come on! Why are we here?!"
1433,139,9,Woman,"Great!  Dad!  Thank you so much, I?ll be back to pick him up in an hour."
1432,139,8,Ross,"Yes I am."
1431,139,7,Woman,"Well, I don?t know. Are you a masseur?"
1430,139,6,Ross,"Can I, can I help you with something?"
1429,139,5,Woman,"Ohh great."
1428,139,4,Monica,"So, uh y?know, maybe this is selfish and I?m sorry about it, but I was kinda hoping tonight could just be about that."
1427,139,3,Monica,"See, I?ve been waiting my whole life to be engaged, and unlike some people I?m only planning on doing this once."
1426,139,2,Rachel,"What?"
1425,139,1,Monica,"Can I ask you just a little question, huh? Why tonight?"
1424,139,0,Ross,"Okay, Monica. Mon, uh what-what you just saw"
1423,138,12,Joey,"Yeah, that was real."
1422,138,11,Kate,"Right, at the end, you choked on a cookie."
1421,138,10,Jason,"W-w-w-wait! Why?!"
1420,138,9,Phoebe,"Well, we gotta get out of here!"
1419,138,8,Phoebe,"Oh my God, here they come!"
1418,138,7,Phoebe,"Well, we don't n-n-n-n-need a fireman, we'd, we'd like a good mechanic."
1417,138,6,Jason,"No, no?"
1416,138,5,Phoebe,"No! No!"
1415,138,4,Jason,"Ahh-ahh, we'd better call the fire department!"
1414,138,3,Phoebe,"Oh my God!!!"
1413,138,2,Jason,"Whoa!"
1412,138,1,Phoebe,"That is so great! Oh, I...  Oh my God!"
1411,138,0,Jason,"...and I know I'll never miss doing it, but I gotta tell you, it's pretty cool knowing that you're making a difference in a kid's life."
1410,137,10,Phoebe,"I don?t want to go into the whole thing, but umm, we have words and I kill him."
1409,137,9,Joey,"Oh-oh, what about Ross?"
1408,137,8,Phoebe,"We?ll have Chandler?s money and Rachel?s kids and getting custody will be easy because of Rachel?s drinking problem."
1407,137,7,Phoebe,"But then we ditch those two and that?s when we get married."
1406,137,6,Joey,"Great!"
1405,137,5,Phoebe,"I know. Then, I?m gonna marry Chandler for the money and you?ll marry Rachel and have the beautiful kids."
1404,137,4,Joey,"Wow."
1403,137,3,Phoebe,"Okay umm, well, first Chandler and Monica will get married and be filthy rich by the way. Yeah. But it won?t work out."
1402,137,2,Joey,"Really?! Well, when?"
1401,137,1,Phoebe,"Oh we do, but not just yet."
1400,137,0,Joey,"So, Ross and Rachel got married, Monica and Chandler almost got married, do you think you and I should hook up?"
1399,136,12,Ross,"Me neither."
1398,136,11,Charlie,"I didn't do that."
1397,136,10,Ross,"And then, you try to make the best of a bad situation, so you float the idea of a threesome?"
1396,136,9,Phoebe,"Ok, ok, how many of you"
1395,136,8,Monica,"Ok, quick    question: by a show of hands, how many of you were bothered by this woman's    singing outside?"
1394,136,7,Monica,"Excuse me, excuse me, hi, I'm    Monica Geller..I'm the head chef here.. ..    Ok, I was actually expecting a little applause there, but whatever!"
1393,136,6,Phoebe,"Get your garlic-peelers    off me!"
1392,136,5,Monica,"Oh yeah? Ok, let's settle this, come on!"
1391,136,4,Phoebe,"Why? The only person my playing is bothering is you!"
1390,136,3,Monica,"Ok, you have to stop playing now."
1389,136,2,Phoebe,"You'd better get back in that kitchen Monica, the garlic is    not gonna overuse itself."
1388,136,1,Monica,"Thank god, it's just you! I thought someone was swinging a bag    of cats against the wall."
1387,136,0,Phoebe,"Food here at 'Javu'..will kill you..the food here    at 'Javu' ...will kill you.."
1386,135,11,Phoebe,"I know I will."
1385,135,10,Phoebe,"Well it's just something to think about."
1384,135,9,Phoebe,"I think it's just y'know that I haven't been with a guy in so long and how sometimes you're looking for something and you just don?t even see that it's right there in front of you sipping coffee?Oh no, have I said to much?"
1383,135,8,Chandler,"What's going on?"
1382,135,7,Phoebe,"Well actually you're the one person I can't tell this too. And the one person I want to the most."
1381,135,6,Chandler,"Phoebe, it's me. You can tell me anything."
1380,135,5,Phoebe,"Well, if you really wanna know, I'm?Oh! I can't tell you this."
1379,135,4,Kara,"I'm not all right."
1378,135,3,Doug,"Well, I gotta tell ya Bing; that partner of yours is a real tiger.  Are you all right sweethart?"
1377,135,2,Monica,"Game!"
1376,135,1,Kara,"Oww!!"
1375,135,0,Doug,"Bing!"
1374,134,9,Joey,"No, no, no, don?t get up, I got a cooler right here."
1373,134,8,Chandler,"Yeah, I?ll go get one."
1372,134,7,Joey,"They do that a lot. Hey, you want a beer?"
1371,134,6,Chandler,"Wow! Look at them run."
1370,134,5,Joey,"Nicole Eggert. You'll like her."
1369,134,4,Chandler,"Well, it sounds kinda stupid...  Who?s she?"
1368,134,3,Joey,"Lifeguards."
1367,134,2,Chandler,"What?s it about?"
1366,134,1,Joey,"Baywatch."
1365,134,0,Chandler,"So ah, whatcha watching?"
1364,133,9,"Mr. Zelner","Last week when I asked you when your due date was uh, I certainly did not mean that I felt that"
1363,133,8,"Mr. Zelner","Okay?"
1362,133,7,"Mr. Zelner","If I in any way implied that I wanted to buy your baby?I am sorry."
1361,133,6,Rachel,"Oh God."
1360,133,5,"Mr. Zelner","I?ve asked Lee from human resources to be here as a witness to our conversation."
1359,133,4,Rachel,"Yeah."
1358,133,3,"Mr. Zelner","Oh I think it?s best that I speak first."
1357,133,2,Rachel,"Okay look Mr. Zelner"
1356,133,1,"Mr. Zelner","Please, come in. Have a seat."
1355,133,0,Rachel,"Morning. You wanted to see me?"
1354,132,11,Joey,"Well nothing yet, they really hate you and I want to fit in."
1353,132,10,Monica,"What kinda things have you been saying?"
1352,132,9,Joey,"You don?t fire me, instead I stay here, I gain their trust, and they?ll start listening to all the nice things I?ve been saying about you."
1351,132,8,Joey,"Look, how-how about this?"
1350,132,7,Joey,"And I gotta pay rent!"
1349,132,6,Monica,"Joey, we had a deal. That-that?s why you?re here! I?ve got to fire you!"
1348,132,5,Joey,"It?s been a long time since I had?  327 + 238 dollars!"""""
1347,132,4,Joey,"But I was standing there with 327 dollars in one hand and 238 dollars in the other hand, and I was thinking, """"Wow!"
1346,132,3,Joey,"Really!"
1345,132,2,Joey,"I was gonna do it!"
1344,132,1,Joey,"I am so-so-so sorry."
1343,132,0,Monica,"What the hell happened?!"
1342,131,9,Monica,"Ok...ay."
1341,131,8,"Young Ethan","Oh, I'm a senior... in High School."
1340,131,7,Monica,"You're not a senior?"
1339,131,6,"Young Ethan","I'm a little younger than I said."
1338,131,5,"Young Ethan","Uh, listen um, as long as we're telling stuff, uh, I have another one for you."
1337,131,4,Monica,"But I figured, you know, that shouldn't change anything. I mean, what the hell does it matter how old we are."
1336,131,3,"Young Ethan","Huh!"
1335,131,2,Phoebe,"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!"
1334,131,1,All,"Eww!"
1333,131,0,Ross,A
1332,130,13,Phoebe,"Tell him it's for you."
1331,130,12,Phoebe,"You're right."
1330,130,11,Rachel,"No! Forget it! I am"
1329,130,10,Phoebe,I
1328,130,9,Rachel,"Me?!"
1327,130,8,Phoebe,"Oh, just ask him!"
1326,130,7,Rachel,"Phoebe, no! This is, this is insane."
1325,130,6,Phoebe,"Listen, I-I hate to miss an opportunity just because I didn't"
1324,130,5,Phoebe,"Seriously, three babies are a handful maybe they're y'know, looking for a chance to unload one of them."
1323,130,4,Phoebe,"Y'know?"
1322,130,3,Phoebe,"Maybe not!"
1321,130,2,Rachel,"Yes! Yes! Yes, I do! I do know! Frank and Alice are gonna want to keep"
1320,130,1,Phoebe,"Why not?! Maybe I can, you don't know!"
1319,130,0,Rachel,"Okay, Phoebe, honey, you gotta be kidding. I mean, you"
1318,129,9,Monica,"Well?it?s just umm?I?m afraid you might mess it up."
1317,129,8,Chandler,"Yes! And look, now that I know if I got some extra stuff lying around can we, can we share the closet."
1316,129,7,Monica,"Really? You promise you won?t tell anyone?"
1315,129,6,Chandler,"No, honey you?re not sick! Look, I don?t love you because you?re organized, I love you in spite of that."
1314,129,5,Monica,"No Chandler, you don?t understand! (Chandler starts singing the theme for"
1313,129,4,Chandler,"I married Fred Sanford!"
1312,129,3,Monica,"Oh no! You weren?t supposed to see this!"
1311,129,2,Chandler,"You?re messy."
1310,129,1,Monica,"How did you get in there?!"
1309,129,0,Chandler,"Not to shabby, I got this all off myself?using my wife?s tools.  Oh my God!"
1308,128,10,Joey,"!"
1307,128,9,Joey,"Don?t you people ever knock?"
1306,128,8,Joey,"Yeah."
1305,128,7,Joey,"Good."
1304,128,6,Joey,"Okay, that give you a couple hours to prepare what you?re gonna say."
1303,128,5,Joey,"That?s good."
1302,128,4,Joey,"Okay."
1301,128,3,Rachel,"Sure! That sounds great! Just leave me a message and tell me where to meet you. Okay?"
1300,128,2,Joey,"Okay umm, I just came by to tell you that I?want to have dinner with you tonight. That?s all."
1299,128,1,Rachel,"Well honey, I?m late for a meeting. So can you just make it quick?"
1298,128,0,Joey,"Here? In the hall? What are we animals?"
1297,127,11,Joey,"I'm Joey. I mean, I'm disgusting. I make low-budget adult films."
1296,127,10,Rachel,"And with Chandler in the next room. What are you, what are you sick?"
1295,127,9,Chandler,"What is going on here?"
1294,127,8,Rachel,"Joey, is what she just said umm?Oh my God.  You were actually gonna"
1293,127,7,Joey,"Hiya."
1292,127,6,Cynthia,"I can't believe you thought that you were going to video tape us having sex on the first date!"
1291,127,5,Joey,"Oh no-no-no-no, wait-wait-wait!!"
1290,127,4,Cynthia,"Oh, candles!  What is that? A blanket? A video camera? Oh my God!"
1289,127,3,Joey,"You're smart. I like that."
1288,127,2,Cynthia,"No, we just went out."
1287,127,1,Joey,"So you uh, still wondering?"
1286,127,0,Cynthia,"God, this was really fun! I've been wondering if you were going to ask me out."
1285,126,12,Rachel,"Now listen, look-look, I'm sorry if I gave you the wrong impression, but I am"
1284,126,11,Rachel,"All right, okay-okay, I see, I see what's going on here!"
1283,126,10,Rachel,"Wh-whoa!"
1282,126,9,"Mr. Zelner","Here let me"
1281,126,8,Rachel,"Excuse me?"
1280,126,7,"Mr. Zelner","Just ah"
1279,126,6,Rachel,"What?"
1278,126,5,"Mr. Zelner","Oh Rachel, uhh"
1277,126,4,Rachel,"Thank you."
1276,126,3,"Mr. Zelner","It's really nice to see you again."
1275,126,2,"Mr. Zelner","Come on in."
1274,126,1,Rachel,"Hi!"
1273,126,0,"Mr. Zelner","Hi Rachel!"
1272,125,10,Phoebe,"Yep. Put more gas in."
1271,125,9,Rachel,"So you know how to fix it?"
1270,125,8,Phoebe,"Yeah, this has happened before."
1269,125,7,Rachel,"What, what?s it, what?s going on?"
1268,125,6,Phoebe,"Okay.  Oh, no!"
1267,125,5,Chandler,"At least let me smoke it to the good part."
1266,125,4,Monica,"Chandler!!"
1265,125,3,All,"Oh, yeahhhhh!!!"
1264,125,2,Joey,"And there you go!"
1263,125,1,Chandler,"Okay, now let?s decide who has the nicest ass."
1262,125,0,Joey,"Hey!  Now, we're not actually gonna be sleeping in her, but do you mind?"
1261,124,9,Phoebe,"Then that?s not breaking the law! I?m there!"
1260,124,8,Ross,"Yeah."
1259,124,7,Phoebe,"Okay, now would you say that that?s more than 50 yards away from Sting, his wife, or a member of his family?"
1258,124,6,Monica,"Ooh, these tennis shoes are so tight. I think I?ll take them off."
1257,124,5,Chandler,"Carry on."
1256,124,4,Monica,"What?"
1255,124,3,Chandler,"Monica! Wait!"
1254,124,2,Monica,"Y?know what? I?m gonna make this up to you. I promised you a stripper , and you?re gonna get a stripper."
1253,124,1,Chandler,"Her ass print is still on your grandmother?s quilt, do you really want to talk about smoking?"
1252,124,0,Monica,"I swear I didn?t know she was a hooker! I mean wh?Did you let her smoke in here?"
1251,123,12,Phoebe,Secret
1250,123,11,Rachel,"Phoebe!"
1249,123,10,Joey,"And you, you?re the one having the affair with the guy who keeps the pigeons on the roof!"
1248,123,9,Joey,"Huh?"
1247,123,8,Joey,"You?re the one who?s in love with her assistant!"
1246,123,7,Joey,"Huh?"
1245,123,6,Joey,"Hey, don?t start judging me!"
1244,123,5,Rachel,"Fine."
1243,123,4,Phoebe,"Whatever."
1242,123,3,Joey,"Look, I?m sorry you guys, I-I just don?t think so."
1241,123,2,Rachel,"Yeah, maybe if you gave this girl a chance it would go somewhere."
1240,123,1,Phoebe,"Hey!"
1239,123,0,Ross,"Hi!"
1238,122,13,Chandler,"Yeah, can I get a 3-piece, some cole slaw, some beans, and a Coke-(Yelps in"
1237,122,12,Chandler,"Hey Joe!"
1236,122,11,Monica,"Chicken? I could eat some chicken."
1235,122,10,Chandler,"Are you okay? I'm so sorry, he wouldn't leave. He kept asking me about chicken."
1234,122,9,Joey,"All right!"
1233,122,8,Chandler,"For the last time no! Get out! Get out, Joey!"
1232,122,7,Joey,"You sure? Some extra crispy? Dirty rice? Beans?"
1231,122,6,Joey,"Okay."
1230,122,5,Chandler,"Ahh, no thanks. No chicken, bye-bye then."
1229,122,4,Joey,"Ahh, I'm gonna go get some chicken. Want some?"
1228,122,3,Chandler,"I've had a very long, hard day."
1227,122,2,Joey,"Hey, it's me! I'm comin' in!"
1226,122,1,Chandler,"Ehh, you're just liquored up."
1225,122,0,Monica,"You look cute in bubbles."
1224,121,11,Chandler,"Why?! I mean if this guy was"
1223,121,10,Monica,"Well, y'know I-I-I think I'm gonna respect the privacy of my new secret boyfriend."
1222,121,9,Rachel,"Chandler!  Is he?"
1221,121,8,Chandler,"If you're cooking on the stove, does that mean that your new secret boyfriend is better in bed than Richard?"
1220,121,7,Monica,"Sure!"
1219,121,6,Chandler,"Hey, Monica? Can I ask you a cooking question?"
1218,121,5,Phoebe,"'Cause I just gave birth to three children and I will not let them be raised in a world where Joey is right!"
1217,121,4,Phoebe,"I will find a selfless good deed!"
1216,121,3,Dave,"Yeah!"
1215,121,2,Rachel,"Yeah. Umm, unless you wanna come inside?"
1214,121,1,Dave,"Yeah, me too.  So, I guess this is it."
1213,121,0,Rachel,"Oh God, I really had a good time!"
1212,120,13,Ross,"Okay, talk to you later."
1211,120,12,Ross,"He?s smiling though!"
1210,120,11,Ross,"Oh, I guess he doesn?t feel like talking right now."
1209,120,10,Ross,"Ben, say hi to Aunt Monica."
1208,120,9,Monica,"Oh, put him on!"
1207,120,8,Ross,"Oh, I?m just over here with Ben. I thought we?d say hi."
1206,120,7,Monica,"What?s up?"
1205,120,6,Rachel,"Ooh, your brother. Score!"
1204,120,5,Ross,"O-okay, Rach calm-calm down, okay? She-she?s really upset we?re just talking."
1203,120,4,Ross,"Hello?"
1202,120,3,Jill,"Oh great!"
1201,120,2,Ross,"Uh okay, well there?s-there?s wine in the kitchen."
1200,120,1,Jill,"Yeah. Ooh, I know what this is missing! Alcohol!"
1199,120,0,Ross,"Slides are almost ready."
1198,119,10,"Guru Saj","Hmm, let me see. Let me see. Do you think you could get him to eat a bat?"
1197,119,9,Joey,"Is there something you can do?"
1196,119,8,Joey,"He?s got a, he?s got a really bad cough, and our vet, he can?t do anything about it."
1195,119,7,Joey,"Yeah, yeah."
1194,119,6,Monica,"I love spider burners."
1193,119,5,Monica,"Oh my God, look at these spider burners!"
1192,119,4,Monica,"I?d be cold, but I?m always cold."
1191,119,3,Monica,"I mean I could live in this thing!"
1190,119,2,Monica,"It?s gigantic!"
1189,119,1,Monica,"Wow, look at this refrigerator!"
1188,119,0,Monica,"I don?t believe this!"
1187,118,10,Kathy,"No."
1186,118,9,Chandler,"Bye.  Are you still out there?"
1185,118,8,Kathy,"Okay. Bye."
1184,118,7,Chandler,"I-I think we have too."
1183,118,6,Monica,"So, did you do it?"
1182,118,5,Phoebe,"Umm, the street. Come on, let?s go to the street. Ooh, listen, don?t go onto the balcony until after I get back."
1181,118,4,Monica,"What?!"
1180,118,3,Phoebe,"Ooh, y?know what, I think it?s time for puppy to go out again. Come on, let?s go to the balcony."
1179,118,2,Chandler,"Why is Phoebe singing to Carl Mulden?"
1178,118,1,Monica,"Hey!"
1177,118,0,Chandler,"Hi."
1176,117,13,Phoebe,"Oh, just go. You?re never gonna get it!"
1175,117,12,Monica,"Okay, does it involve something to do with Pete?s computer company?"
1174,117,11,Phoebe,"I, but you?re so close! No!"
1173,117,10,Monica,"Okay, I gotta go."
1172,117,9,Phoebe,"I can?t!!"
1171,117,8,Monica,"Okay, I feel like I?m talking to Lassie. All right, Phoebe would you just tell me!"
1170,117,7,Phoebe,"I don?t know!"
1169,117,6,Monica,"What is it?! What about Pete?"
1168,117,5,Phoebe,"No!"
1167,117,4,Monica,"Okay, so it doesn?t involve Ross or Rachel or Chandler or Joey. But, what about Pete?"
1166,117,3,Mark,"Wow. I?m sorry. Eggroll?"
1165,117,2,Rachel,"I told him he treats me like a park ranger, or something, oh and then I told him I wanted to take a break, I don?t want to take a break."
1164,117,1,Rachel,"I just, it was awful."
1163,117,0,Rachel,"Oh, and then, we got into this big, stupid fight."
