speaker,utterance,emotion,annotation,emotion_code
Joey,what d i tell you? what d i tell you?,non-neutral,2100020,5
Joey,oh  yeah  he is got that great baby smell  get a whiff of his head ,joy,2300000,3
Joey,you want to smell him?,neutral,3000110,4
Chandler,well  don t  do not think me immodest  but  me?,surprise,1010030,7
Joey,hello ,neutral,4000010,4
Chandler,oh  seriously you want him?,surprise,1000040,7
Joey,no  seriously ,non-neutral,1000220,5
Chandler,no  i got him ,neutral,3000101,4
Joey,all right  gimme the baby ,neutral,4100000,4
Joey,no  no wait  for get them  we got one  hard left ,non-neutral,2200010,5
Joey,maybe one of them will break away ,neutral,3100010,4
Joey,quick  aim him at that pack o  babes over there ,neutral,3200000,4
Joey,it is that whole sensitive thing ,neutral,5000000,4
Joey,women love guys who love babies ,neutral,4100000,4
Joey,it is a known fact that women love babies  all right?,neutral,3100010,4
Joey,it is going to be worth it ,neutral,4100000,4
Chandler,you know  i do not think we brought enough stuff  did you forget to pack the baby s anvil?,neutral,3001010,4
Chandler,no they didn t!,non-neutral,1100120,5
Joey,seriously  good game though  good game    what are they so mad about? they get the apartment back!,surprise,1000040,7
Chandler,tickets please!  that is courtside baby!,joy,500000,3
Monica,i do not know!,non-neutral,2001020,5
Joey,why?!,neutral,3000020,4
Monica,but  we pick again! we pick again!,joy,1301000,3
Chandler,yeah baby!,joy,500000,3
Joey,uh huh  not as high as    it worked! king!,surprise,100040,7
Rachel,come on apartment! come on apartment!  oh! i know queen is high!,non-neutral,200120,5
Joey,okay ,neutral,5000000,4
Rachel,all right  cut  let us pick again  pick again ,neutral,3000101,4
Phoebe,i do not know  ooh! ooh! look it!  ah ha!,surprise,50,7
Monica,no! ace is low! ace  two  three  four!,non-neutral,100220,5
Joey,what? ace is high! jack  queen  king  ace!,surprise,100130,7
Monica,because we won our apartment back!,joy,300020,3
Joey,so  you are just bing?,neutral,3000020,4
Chandler,yes it is! from now on  i have no first name ,non-neutral,2010002,5
Joey,it is not that bad ,neutral,4010000,4
Chandler,no  no  you are right  it is a ridiculous name!,non-neutral,2000012,5
Joey,dude  i am sorry about what i said!,sadness,40010,6
Chandler,we are teeth people zack!,joy,400010,3
Monica,yess!!,joy,500000,3
Charlie,yeah ,neutral,5000000,4
Ross,yeah  that is it?,surprise,2000030,7
Charlie,and then  and then you said that thing about  about bringing the mesozoic era in the   st century ,neutral,4000010,4
Rachel,no  nothing ,neutral,4010000,4
Monica,something wrong?,neutral,3001010,4
Rachel,i am just going to throw it out  it is probably just a bunch of shampoo and   ,neutral,4000100,4
Rachel,oh  well  i guess i had that one coming ,neutral,3010010,4
Monica,by the way  ross dropped by a box of your stuff ,neutral,5000000,4
Rachel,oh  great  although i did sit down where there was not a chair ,neutral,3000110,4
Monica,hey  rach  how was work?,neutral,5000000,4
Guru Saj,hello  i am guru saj  whoa!!  that is supposed to be a duck right? because otherwise  this is waaay out of my league ,surprise,100040,7
Chandler,everything s going to be all right  okay  dick?,neutral,3001100,4
Mr. Tribbiani,of course  course one of  em s ma  what is the matter with you ,surprise,1000031,7
Joey,oh man  please tell me one of  em is ma ,non-neutral,1022,5
Mr. Tribbiani,joe  your dad s in love big time  and the worst part of it is  it is with two different women ,neutral,3010001,4
Joey,you are one to talk ,disgust,2000003,1
Mr. Tribbiani,then y haven t  you are burning your tomatoes ,neutral,4000001,4
Joey,   i d know ,neutral,4010000,4
Mr. Tribbiani,y ever been in love?,neutral,3020000,4
Mr. Tribbiani,   joe ,neutral,5000000,4
Mr. Tribbiani,i just wanted to put a nice memory in your head so you would know that i was not always such a terrible guy ,neutral,3110000,4
Mr. Tribbiani,no  it is only been six years ,neutral,5000000,4
Joey,since then?!,surprise,50,7
Mr. Tribbiani,remember when you were a little kid  i used to take you to the navy yard and show you the big ships?,neutral,5000000,4
Joey,sure  so how long you been   ,neutral,4000010,4
Mr. Tribbiani,her name s ronni  she is a pet mortician ,neutral,5000000,4
Joey,hey ma  listen  i made the appointment with dr  bazida  and    excuse me?  did you know this is not ma?,surprise,1000040,7
Mr. Tribbiani,got to go  i miss you too  i love you  but it is getting real late now,sadness,1130000,6
Rachel,oh come on!!,non-neutral,212,5
Monica,i do not think this number s right!,non-neutral,1001120,5
Joey,all right! i will have a sandwich!,joy,400010,3
Monica,hello?   it is the deli again!,surprise,1001030,7
Chandler,here you go ,neutral,3100010,4
Monica,uh sorry  wrong number ,non-neutral,2011001,5
Joey,hey  hang up! you get food poisoning just talkin  to that place ,disgust,5,1
Monica,hello?  eighth street deli?,neutral,5000000,4
Joey,yeah! ask them if they brought their friends any souvenirs!,joy,400100,3
Chandler,let us call  em ,neutral,4100000,4
Monica,do you still want to call  em? i want to call  em ,neutral,3101000,4
Phoebe,greg and jenny?,neutral,5000000,4
Chandler,you know who has a great video camera?,neutral,5000000,4
Joey,yeah! you got to tell a girl before you tape her  such a rookie mistake ,non-neutral,1000112,5
Phoebe,i cannot,non-neutral,2002001,5
Joey,it does in mine!,non-neutral,2000210,5
Kate,it does not say that in the script ,anger,2000300,0
Joey,you know ah  i i do not know why my character likes you either  i mean it says in the script here that you are a bitch ,non-neutral,1000211,5
Joey,ah  it is says so in the script!,non-neutral,221,5
Joey,oh  hey  how about this one ,neutral,4000100,4
Kate,i think my character s going to need a little bit more of reason than that ,neutral,5000000,4
The Director,peel the onion  first of all  he is good looking ,neutral,5000000,4
Kate,well  i do not understand why adrienne s attracted to victor ,non-neutral,2000120,5
The Director,yes?,neutral,4000010,4
Kate,i have a question about this scene ,neutral,4000010,4
The Director,tasty! i am really starting to feel like you guys have a history  it s it s nice ,joy,2300000,3
Joey,nothing ,non-neutral,2010101,5
Joey,you look at me  and it is nothin  ,non-neutral,1010201,5
Joey,i talk to you and nothin  ,non-neutral,1010201,5
Joey,because i sure as hell cannot figure it out!,anger,401,0
Joey,huh?,surprise,1000130,7
Joey,well  why do not you tell me what you are supposed to be!,anger,1000310,0
Kate,happy?! is that what i am supposed to be vic? happy?,non-neutral,100112,5
Joey,oh my god!,surprise,100040,7
Phoebe,oh my god!!,surprise,100040,7
Ross,i have been looking for this for like a month!,surprise,200030,7
Ross,my sweater!,surprise,50,7
Ross,yeah  they think they can charge me for some dirty movie and a bag of mashuga nuts  they got another think coming ,anger,302,0
Ross,no no  i took them from the hotel lobby ,neutral,3000020,4
Phoebe,wait you stole those from these people s wedding?,surprise,41,7
Ross,well  i am going to go get these  in some water ,neutral,5000000,4
Chandler,call it even?!,neutral,3001100,4
Monica,you kissed another woman!,non-neutral,221,5
Joey,and and and and and the toothpicks?,non-neutral,2002010,5
Monica,yeah! okay  this one is a mushroom cap   umm  this one is made of bologna ,non-neutral,2200001,5
Joey,wow! this looks great!,joy,300020,3
Monica,okay  we have a lot of options here  a number of prototypes for you to try on ,neutral,4100000,4
Chandler,well  we are gonna    we are going to figure this out ,non-neutral,2021000,5
Monica,i am sorry too ,sadness,40001,6
Chandler,i am sorry ,sadness,40001,6
Chandler,it means that we can keep trying  but there is    a good chance this may never happen for us ,sadness,1030001,6
Phoebe,mike and i broke up ,sadness,2030000,6
David,she is also a scientist  so she is very smart and pretty and    well  it is actually because of you  really  that we are together  i mean  i saw what you had with that mike guy  and i just said boy  i want that ,non-neutral,2210000,5
Phoebe,oh  good for you ,neutral,4010000,4
David,ah well  i i m seeing someone ,non-neutral,2021000,5
Phoebe,good!,joy,1400000,3
David,good  good  life is good   ,non-neutral,2120000,5
Phoebe,well  it is great that you are back! how are you?,joy,300020,3
David,well  after eight years of research i discovered that it cannot be done ,sadness,40001,6
Phoebe,yeah?,neutral,5000000,4
David,well  remember how i was trying to achieve the positronic distillation of subatomic particles?,neutral,4100000,4
Phoebe,what happened?,surprise,1000040,7
David,well  i am back from minsk    permanently ,non-neutral,2210000,5
Phoebe,yeah  what what are you doing here?,surprise,1001030,7
David,wow  you look unbelievable ,joy,400010,3
David,phoebe! hi!,joy,400010,3
Phoebe,david?,neutral,3000020,4
Ross,total wuss!,non-neutral,100112,5
Chandler,what a baby ,non-neutral,2000102,5
Joey,i got to go check something over here ,neutral,4001000,4
Chandler,thanks man ,neutral,3200000,4
Ross,i mean  you two are are my    i mean  i am lucky to have just one good,neutral,3101000,4
Ross,hey  both you guys should be up there with me ,neutral,4100000,4
Chandler,depends on what you mean by we ,neutral,3001010,4
Ross,yeah no but but but but! we are just going to go home and take a shower  now  that is not scary right?,non-neutral,2201000,5
Chandler,well yeah  but then,non-neutral,2102000,5
Ross,oh hey  do not thank me  thank yourself  you are the one who faced her fears and ultimately overcame them ,joy,1400000,3
Phoebe,thank you ross ,joy,1400000,3
Phoebe,i never thought i would be able to do that!,joy,300020,3
Phoebe,i rode a bike!,joy,1300010,3
Phoebe,i did it!,joy,400010,3
Ross,hey lady! i do not care how much you want it! okay?! i am,disgust,104,1
Ross,is that so?,neutral,3000020,4
Rachel,no  i don t! ross  i think i am just a more secure person than you are ,neutral,4000010,4
Ross,what?! you totally get embarrassed!,surprise,50,7
Rachel,okay  all right  that is true! but you know i just do not embarrass that easily ,neutral,3100010,4
Ross,uh huh  but it was a first for the rest of my building ,neutral,4000010,4
Rachel,no  not really  i mean you have seen me naked hundreds of times ,neutral,5000000,4
Ross,y know  last night was embarrassing for you too ,neutral,5000000,4
Rachel,i am sorry  i am done  i am done ,neutral,3110000,4
Ross,yep! that is hilarious!,joy,400001,3
Rachel,now  i am just letting you know that this is,neutral,4001000,4
Rachel,i m i m really warm  so i am going to be taking off my sweater ,neutral,4001000,4
Rachel,okay umm  ross?,neutral,5000000,4
Rachel,we are just really   very excited about this charity event that we have to go to ,neutral,3200000,4
Monica,oh  thank you!   what is going on?,joy,1300010,3
Chandler,you are beautiful ,joy,1400000,3
Monica,hi guys ,neutral,5000000,4
Ross,yeah yeah you guys  get out of here!,neutral,3100100,4
Chandler,okay  now will you guys get out of here? i want this is to be a surprise and she is going to know ,neutral,3100100,4
Phoebe,oh! oop!,surprise,1040,7
Chandler,yeah  right here in my pocket   pheebs?,neutral,4100000,4
Ross,yeah  yeah you have the ring?,neutral,3200000,4
Joey,it is the big night! we wanted to wish you good luck!,joy,500000,3
Chandler,will you marry me?,non-neutral,2200010,5
Ross,yeah  well   ,neutral,5000000,4
Phoebe,she is going to hate me ,fear,23000,2
Joey,feminist issue  that is where i went!,neutral,4000010,4
Chandler,oh  yeah  you have to tell her ,neutral,5000000,4
Ross,guys?,non-neutral,1002020,5
Ross,it is your moral obligation  as a friend  as a woman  i think it is a feminist issue!,non-neutral,200102,5
Ross,you have to tell her!,joy,300200,3
Chandler,so what are you going to do?,surprise,2000030,7
Ross,thanks rach ,neutral,4100000,4
Ross,the actress!,surprise,200030,7
Monica,oh!,surprise,50,7
Phoebe,uma thurman ,neutral,4100000,4
Rachel,ooo  what?,surprise,1100030,7
Phoebe,oh  boy scouts could have camped under there ,neutral,3000002,4
Monica,was it   ?,surprise,2000030,7
Phoebe,oh yeah  i am sure   and all of a sudden his hands were not the problem anymore ,neutral,3000002,4
Joey and Chandler,ooooohh!,surprise,100040,7
Phoebe,so umm  now do you have any of matt lauer s clothes here? maybe? just ones that have not been cleaned yet?,neutral,3101000,4
Joey,okay  fine  i will bring you a tape  huh?,neutral,4001000,4
The Dry Cleaner,well  then it is not on the wall yet ,neutral,4000100,4
Joey,oh well  it is not on tv yet ,neutral,5000000,4
Elizabeth,daddy!,surprise,1000040,7
Paul,okay  i will give you one chance to change my mind   you got one minute ,anger,1000301,0
Ross,umm  but i think if you give me umm  one chance i can  i can change your mind ,fear,2003000,2
Ross,i can  i can see that ,neutral,3011000,4
Paul,i,neutral,4000010,4
Ross,that is funny  umm      it is not funny ,fear,13100,2
Paul,why cannot you get a girlfriend your own age?,anger,311,0
Ross,eh wh excuse me?,surprise,1001030,7
Paul,so ross  what your problem?,anger,401,0
Ross,of course  of course  mr  stevens ,neutral,3001010,4
Paul,i usually prefer elizabeth s boyfriends to address me as mr  stevens ,neutral,3000101,4
Ross,it it s great to meet you paul ,joy,1301000,3
Elizabeth,this is my father  paul stevens  dad  this is ross geller ,neutral,4100000,4
Ross,oh  that is not what you want   ,neutral,4010000,4
Chandler,man  that is some,non-neutral,2021000,5
Monica,she will say no  david s heart will be broken  it will be too hard for them to recover from and then phoebe will end up alone,non-neutral,11201,5
Monica,they have only been going out for a few weeks and phoebe is completely hung up on mike!,anger,320,0
Monica,now could not you just have made some sort of inappropriate joke?,non-neutral,212,5
Monica,you are not supposed to give people advice!,anger,1000400,0
Monica,chandler  we have talked about this ,anger,1010300,0
Chandler,be cause  we were talking about ways that he could beat mike and i told him that phoebe wanted to get married ,non-neutral,2201000,5
Monica,what?  why?,surprise,50,7
Chandler,david is going to propose to phoebe ,joy,1400000,3
Monica,ok  i am sensing that this is some kind of word play  because you are pink with barely controlled glee ,neutral,3100001,4
Chandler,i do! want a hint? huh? i do  i do ,non-neutral,2200010,5
Monica,wow! that mike thing was interesting! i do not know what is going to happen with phoebe and david ,surprise,100040,7
Ross,it is worth the pain   you know what  you know what? it is not ,non-neutral,210110,5
Emily,you are welcome   i am sorry  did i hurt you?,fear,1003010,2
Ross,no  no  i am serious  thank you ,joy,1400000,3
Emily,i think you have got concussion ,fear,1003010,2
Ross,and it is all because of you  wonderful  amazing you ,joy,500000,3
Ross,i i hurt three huge men  i gave a guy a bloody nose i mean i i m not proud of it but  i really am ,non-neutral,220100,5
Ross,are you kidding?,non-neutral,10121,5
Ross,please!,non-neutral,10211,5
Chandler,okay  all right  all right  all right! okay!  okay  here is something  here is something blue and new ,joy,300200,3
Monica,okay  come on  i cannot get married until i get something old  something new  something borrowed  and something blue ,non-neutral,2012000,5
Ross,no  we we re going to be like best friends  that is why it is going to be weird ,neutral,3101000,4
Ross,yeah  it is ,neutral,3010010,4
Joey,man  this is going to be kinda weird ,non-neutral,1011011,5
The Casting Director,so it will be either you two  or you two ,neutral,5000000,4
The Casting Director,yeah because you all have such different looks  we are putting you with raymond and kyle with ben ,neutral,5000000,4
The Casting Director,actually  that cannot happen ,neutral,4010000,4
Ross,yeah!,joy,500000,3
Joey,oh this is great! i might actually get to play ben s dad!,joy,500000,3
Ross,yes!! i knew it!!  bye bye! so long! later!,joy,500000,3
The Casting Director,okay uh  we have narrowed it down to raymond  ben  kyle  and joey  the rest of you  thank you very much ,neutral,5000000,4
Joey,who knows?,neutral,3001010,4
Carol,is it a good sign that they asked us to hang around after the audition?,surprise,2000030,7
Joey,well  unfortunately  i do not get many callbacks so,neutral,3020000,4
Ross,oh god  this is so nerve wracking! how how do you do this?,non-neutral,2120,5
Joey,no  i am good ,neutral,3001001,4
Mr. Treeger,  yeah  you could dance real good with her  she is the same size as me ,neutral,4100000,4
Joey,really?,surprise,100040,7
Mr. Treeger,  right   hey  ahh  you want to come? marge has a girlfriend ,neutral,5000000,4
Joey,go get  em treeger ,neutral,4100000,4
Mr. Treeger,  yeah ,neutral,5000000,4
Mr. Treeger,  ahh  thanks but no  you see i i think i am ready to dance with girls ,neutral,4000001,4
Joey,unless you want to practice the foxtrot again? or or the tango?,neutral,4010000,4
Joey,oh well  okay  good luck ,non-neutral,1120100,5
Mr. Treeger,  thank you  listen  thanks a lot tribbiani    oh my god  look at the time  i got to catch the bus to the ball ,joy,1400000,3
Joey,i know  it was amazing! i mean  we totally nailed it  it was beautiful ,joy,500000,3
Mr. Treeger,  i know  we did it!! hey  that was incredible  huh?!,joy,500000,3
Ross,what should i wear  now i am all nervous ,fear,5000,2
Rachel,okay  honey  i would love for you to go with me   what?,joy,300020,3
Ross,i mean for  for all you know i could be a fashion      monger ,neutral,3100010,4
Ross,yeah  hey i i have clothes  i even pick them out ,neutral,3100010,4
Rachel,really!?,surprise,1000040,7
Ross,pa haa!! i would love to go with you ,joy,500000,3
Rachel,you guys would never want to go to a lecture with me ,neutral,3020000,4
Rachel,look honey  mark is in fashion okay  i like having a friend that i can share this stuff with ,neutral,4100000,4
Rachel,i do not know  you thought  see you saturday  was funny ,neutral,3100010,4
Chandler,you see you cannot tell which one is which either  dwha!!,surprise,41,7
Monica,no  no  no  that is dina ,neutral,5000000,4
Rachel,dark  big hair  with the airplane earrings ,neutral,5000000,4
Ross,which one is gina?,neutral,5000000,4
Monica,i mean  was it gina?,neutral,3000020,4
Rachel,i mean that is unbelievable ,non-neutral,2000021,5
Phoebe,how can you not know which one?,surprise,1000130,7
Chandler,okay! you do not think i thought of that?,non-neutral,1002020,5
Monica,are you insane? i mean joey  is going to kill you  he is actually going to kill you dead ,surprise,1130,7
Nurse,breathe  breathe  breathe ,neutral,4001000,4
Joey,water breaking  what do you mean? what is that  water breaking?,surprise,1000031,7
Nurse,it is just her water breaking  calm down  will you?,neutral,3000200,4
Joey,ew! what is that? something exploded!,disgust,23,1
Phoebe,thanks ,joy,2300000,3
Monica,well  if you want  you can stay with rachel and me tonight ,neutral,5000000,4
Phoebe,you have no idea how loud they are!,disgust,1000013,1
Phoebe,so they are constantly  like  having to reassure each other that they are having a good time ,neutral,3000002,4
Phoebe,oh  and deaf ,neutral,3010001,4
Phoebe,my grandmother has this new boyfriend  and they are both kind of insecure in bed ,disgust,1010003,1
Ross,why?,neutral,3000020,4
Phoebe,i got no sleep last night!,anger,1000400,0
Monica,what is going on with you?,surprise,1000040,7
Ross,it is okay  y know  you just nodded off again ,neutral,5000000,4
Phoebe,oh! what what what!    hi ,surprise,1000040,7
Monica,would you look at her? she is so peaceful ,non-neutral,1200020,5
Ross,i cannot sleep in a public place ,neutral,3001001,4
Monica,how does she do that?,surprise,1000040,7
Rachel,oh my god! listen to you talkin  about having kids  oh my joey   oh  please do not get married before i do ,surprise,101030,7
Joey,she loves sandwiches  sports  although she is a met fan  not much of an issue now but if we were ever to have kids  well that is a,non-neutral,1200020,5
Joey,we have so much in common!,joy,400010,3
Joey,and!,non-neutral,2200010,5
Joey,yeah  that really calms me down ,neutral,4100000,4
Phoebe,did not you sleep together?,neutral,3000011,4
Joey,that was so awkward  we were really nervous ,neutral,3010001,4
Joey,y know?,neutral,4001000,4
Joey,this is so much better than the first time we went out ,joy,400010,3
Joey,you guys were totally right!,joy,400010,3
Joey,no!,non-neutral,2200010,5
Phoebe,yay!! oh so  you are not  you are not mad at us anymore?,joy,1300010,3
Joey,oh  unbelievable! we had the best time!,joy,500000,3
Rachel,how did it go with erin?,neutral,4001000,4
Ross,i know!  do not switch hands  okay?,fear,1003010,2
Joey,man  i did not think we were going to make it!,surprise,1100030,7
Joey,i have to pee  and rachel s in the bathroom!,non-neutral,1022000,5
Joey,uh oh ,fear,1003010,2
Ross,uhh ,neutral,5000000,4
Joey,hey ross  would not it be great if we could go two straight hours without dropping it?!,joy,500000,3
Joey,uhh  the ball thing ,neutral,5000000,4
Ross,hey  you want to get something to eat or uh  do you want to see how long we can throw this ball back and forth? huh?,neutral,5000000,4
Ross,i will get it! i will get that!,joy,2300000,3
Caitlin,pizza delivery!,joy,1300010,3
Rachel,oh yeah well  you know me  babies  responsibilities  ahhh!!!,fear,13001,2
Monica,it is a diaper commercial ,neutral,3000020,4
Rachel,oh boy  i just cannot watch  it is too scary!,fear,5000,2
Monica,rach? what are you doing?,neutral,3000020,4
Chandler,if you said  big lima bean  bubbling up  would she understand the difference?,neutral,4000001,4
Joey,oh umm  my big scene is coming up  big scene coming up ,joy,1400000,3
Joey,okay  see that blind guy right there? i am going to bash his head in later ,anger,2000300,0
Ross,yeah  either that  or he has a really big cat ,neutral,4000001,4
Phoebe,oh  yeah  bob said there might be flood damage ,neutral,3010010,4
Monica,what is with all this sand?,surprise,2000030,7
Phoebe,oy!!,non-neutral,200012,5
Rachel,oh yeah  now everybody wants to be under this hat!,joy,1300001,3
Ross,go  go  go!,joy,500000,3
Ross,go  go  go!,joy,301010,3
Ross, ,neutral,4000100,4
Ross,and most importantly i    you you will have to catch us first ,joy,1301000,3
Ross,we are academics ,non-neutral,2010101,5
Ross,i mean  we are scientists  right?,non-neutral,2010101,5
Ross,are not we a little old for this?,anger,401,0
Ross,ok  gentlemen!,anger,1100300,0
