speaker,utterance,emotion,annotation,temp
Chandler,"Okay, so what name am I cool enough to pull off?",surprise,2000030,"Test_Set"
Joey,"No way are you cool enough to pull of Clint.",disgust,1000013,"Test_Set"
Chandler,"Okay uh, for now, temporarily, you can call me, Clint.",neutral,5000000,"Test_Set"
Phoebe,"All right, so, what are we supposed to call you?",neutral,3000020,"Test_Set"
Chandler,"I have no name.",neutral,3010001,"Test_Set"
Joey,"Maybe I could be a waiter. Could I use the phone?",neutral,4000010,"Test_Set"
Joey,"What?!",surprise,0000050,"Test_Set"
Joey,"And to go from that to this, I just... Plus, I'd have to wait on all my friends.",sadness,2030000,"Test_Set"
Joey,"Ya see, it's just, see I was a regular on a soap opera y'know?",neutral,3020000,"Test_Set"
Joey,"Uh, I don't know.",neutral,3002000,"Test_Set"
Joey,"Ah, Gunther, I can't pay for this right now because I'm not working, so I've had to cut down on some luxuries like uh, payin' for stuff.",neutral,3020000,"Test_Set"
Chandler,"Okay .",neutral,5000000,"Test_Set"
Ross,"Well, I'm not going to go now anyway .",neutral,4000100,"Test_Set"
Chandler,"Yeah!","non-neutral",2000210,"Test_Set"
Ross,"Oh, what are you going to do, follow me down there?","non-neutral",2000111,"Test_Set"
Chandler,"Well, she is going to know that you stole the joke.","non-neutral",1001201,"Test_Set"
Ross,"Well, I was going to stick it in the ATM, but now I think I'll show the sexy teller that I am a published writer.",neutral,3100010,"Test_Set"
Chandler,"So, you stole my joke, and you stole my money.",anger,0000500,"Test_Set"
Ross,"Hey!",neutral,3200000,"Test_Set"
Phoebe,"Hey.",neutral,5000000,"Test_Set"
Chandler,"Yeah. Well, I think our second fight is going to be a","non-neutral",2001101,"Test_Set"
Monica,"Like you, I don't even know where you work?",surprise,2000030,"Test_Set"
Monica,"Look, not that I enjoy talking about people who I went to high school with, 'cause I do, but umm, maybe we could talk about something else?",disgust,1001003,"Test_Set"
Chandler,"It was a ""Wendy's!!    ""","non-neutral",1000220,"Test_Set"
Chandler,"I guess I was just so worried about having to...    come here and do... 'that'...","non-neutral",2001002,"Test_Set"
Chandler,"I can't believe    I didn't even think of that.",surprise,1000031,"Test_Set"
Chandler,"oh, oh, yeah, ok, thanks.","non-neutral",2010011,"Test_Set"
Chandler,"Yeah, but what if it's not? What if there    is a reason why we can't have a baby?","non-neutral",0022010,"Test_Set"
Rachel,"Whoa, I'm sorry. Excuse me. We had this cart.","non-neutral",1000220,"Test_Set"
Rachel,"Oh, I guess. Except everything looks like jammies now.",neutral,3010001,"Test_Set"
Ross,"You got the clothes clean. Now that's the important part.",neutral,5000000,"Test_Set"
Chandler,"Oh yeah! Yeah! Don't worry about me, I'll be fine!","non-neutral",1021100,"Test_Set"
Monica,"Y'know, I don't have an appointment, but I sure could use a physical.  Are you sure you're okay?",neutral,3011000,"Test_Set"
Chandler,"I bet he can.",neutral,3010001,"Test_Set"
Monica,"Great! It's so amazing! I mean, last time Dr. Roger came over, I was",joy,0400010,"Test_Set"
Chandler,"Yeah! Totally! Totally, and you?",joy,1301000,"Test_Set"
Monica,"Are you okay?",neutral,3001010,"Test_Set"
Chandler,"I mean, I remember a time when",sadness,2030000,"Test_Set"
Chandler,"Because you're still seeing him and uh, he's a good guy.",sadness,1030001,"Test_Set"
Chandler,"Right!",surprise,1010030,"Test_Set"
Chandler,"Oh right!",surprise,2000030,"Test_Set"
Chandler,"Oh.",neutral,5000000,"Test_Set"
Monica,"Oh I can't. Dr. Roger is coming over again.",neutral,4010000,"Test_Set"
Chandler,"So you uh, want to do something tonight?",neutral,4010000,"Test_Set"
Monica,"Hey, check me out, I'm a slut!",joy,0300011,"Test_Set"
Chandler,"Let me tell you about this chick I scored with last night! Oh no wait a minute that was you!",joy,0300200,"Test_Set"
Monica,"Hey!",joy,0400010,"Test_Set"
Chandler,"Hey!",joy,0400010,"Test_Set"
Monica,"But you will always be the guy who peed on me.",disgust,1000004,"Test_Set"
Monica,"Okay, all right, I think you're great, I think you're sweet, and you're smart, and I love you.",joy,0500000,"Test_Set"
Chandler,"Okay. All right.",neutral,5000000,"Test_Set"
Monica,"Will you stop!","non-neutral",1100111,"Test_Set"
Chandler,"We were playing Gin? Y'know if we were a couple, we could play this game naked.",joy,2300000,"Test_Set"
Monica,"Gin.",neutral,5000000,"Test_Set"
Ross,"Yeah, that's our baby.",joy,0500000,"Test_Set"
Rachel,"Wow! I can't believe that's our baby.",surprise,0200030,"Test_Set"
Ross,"You're welcome.",neutral,3200000,"Test_Set"
Rachel,"That's it? Well I saw that! Ohh-ohh-oh, thank you.",joy,1300010,"Test_Set"
Ross,"Sweetie that's it.",joy,2300000,"Test_Set"
Rachel,"Yeah.",neutral,5000000,"Test_Set"
Ross,"Come on! Come on! Here, okay-okay, you see this?  This tiny thing that looks like a peanut?",joy,2300000,"Test_Set"
Rachel,"No, I don't see it!",anger,1010300,"Test_Set"
Ross,"Do you really?",neutral,3000020,"Test_Set"
Rachel,"Oh. Oh, it's beautiful. I see it now.",joy,2300000,"Test_Set"
Ross,"Oh sure, come here!  Sure you can! Uh, look come here look,  it's-it's-it's, it's right there .",neutral,4000010,"Test_Set"
Rachel,"I know, I lied! I didn't want her to think I was a terrible mother! I can't even see my own baby!",sadness,0040001,"Test_Set"
Phoebe,"Uh-huh! Why do you think it takes me so long to answer the door?","non-neutral",2000210,"Test_Set"
Rachel,"I mean, you live alone, you don't walk around naked.",neutral,3000110,"Test_Set"
Rachel,"Phoebe just because I'm alone doesn't mean I wanna walk around naked.",neutral,4000100,"Test_Set"
Rachel,"No!","non-neutral",1000211,"Test_Set"
Rachel,"Ross, please, I found the magazines!","non-neutral",1010201,"Test_Set"
Ross,"Oh, come on!","non-neutral",0000221,"Test_Set"
Rachel,"Well, you would know.",neutral,3000101,"Test_Set"
Ross,"Crack isn't even an intravenous drug!",anger,1000310,"Test_Set"
Rachel,"Uh yes, heroin and crack.",neutral,4010000,"Test_Set"
Ross,"What?!",surprise,0000140,"Test_Set"
Ross,"Fine, I'm mentally unstable.",anger,1010300,"Test_Set"
Rachel,"Yes your honor, and here are, are forms, all filled out.",neutral,5000000,"Test_Set"
Monica,"Oh, she's gonna love that!",joy,0500000,"Test_Set"
Rachel,"Oh, and somebody can get those leather pants she's always wanted!",joy,0400010,"Test_Set"
Monica,"Like-like umm, regular coffee, Tequila.",neutral,3110000,"Test_Set"
Monica,"Unless, we give her all gifts she can use after she's done being pregnant.",joy,2300000,"Test_Set"
Monica,"Wait a minute!",surprise,0000050,"Test_Set"
Rachel,"Oh my God! We are throwing the most depressing baby shower ever!",sadness,0030101,"Test_Set"
Monica,"Because she's not gonna get to keep the babies.",sadness,1030010,"Test_Set"
Rachel,"Huh. Except, Phoebe's not gonna be the one that gets to dress them.",neutral,3000011,"Test_Set"
Monica,"I know! Phoebe is gonna love dressing them in these!",joy,0500000,"Test_Set"
Rachel,"Oh, that is so sweet!",joy,0400010,"Test_Set"
Monica,"Okay, look at this one. This is my favourite.",joy,1400000,"Test_Set"
Rachel,"Little village people.",neutral,3100100,"Test_Set"
Monica,"Look what I got! Look what I got! Look what I got!  Can you believe they make these for little people?",surprise,0200030,"Test_Set"
Ross,"Damnit!",anger,0000311,"Test_Set"
Ross,"Ezel!  Hey Gunther! You're an ezel!","non-neutral",1000112,"Test_Set"
Joey,"I guess I didn't really think about it.",neutral,3010010,"Test_Set"
Ross,"Yeah, you didn't expect her to live there with a baby did you?",surprise,1000031,"Test_Set"
Joey,"She is?",surprise,1000040,"Test_Set"
Ross,"Yeah, but when the baby comes she's gonna want to move.",neutral,5000000,"Test_Set"
Joey,"But Rachel has an apartment.",neutral,3000110,"Test_Set"
Ross,"It's not for me, it's for Rachel.",neutral,4001000,"Test_Set"
Joey,"Oh, you're switching apartments?",surprise,1000040,"Test_Set"
Ross,"No-no, I-I have to see if this apartment became available.",neutral,4001000,"Test_Set"
Joey,"To tape the game? You do this every time Ross, you're",disgust,1000103,"Test_Set"
Ross,"Okay I-I just have to stop by my place first.",neutral,5000000,"Test_Set"
Joey,"Oh you know uh Kash, really liked you the other day. He said he thought you were charming.",neutral,4100000,"Test_Set"
Rachel,"Hi!",joy,1300010,"Test_Set"
Joey,"Hey!",joy,1300010,"Test_Set"
Chandler,"You didn't bring",neutral,5000000,"Test_Set"
Chandler,"Sounds like two people are really enjoying the Dewey decimal system.",neutral,3100010,"Test_Set"
Ross,"Oh umm, there's also a book here by a woman named Wendy Bagina.  What is that?",neutral,4000010,"Test_Set"
Monica,"Wait! What about Joey?",neutral,3000020,"Test_Set"
Chandler,"Okay, y'know your not though. Let's go.",neutral,4100000,"Test_Set"
Monica,"Ohh, I've always wanted to go to this culinary fair that they have in Jersey!",joy,0400010,"Test_Set"
Chandler,"Yeah, I can say that I have a conference and you can say you have a chef thing.",neutral,3200000,"Test_Set"
Monica,"All weekend? That's a whole lotta naked.","non-neutral",1200020,"Test_Set"
Chandler,"Y'know we'd have no interruptions and we could be naked the entire time.",joy,2300000,"Test_Set"
Chandler,"Y'know what if we went away for a whole weekend?","non-neutral",2100020,"Test_Set"
Chandler,"Hey!",joy,0400010,"Test_Set"
Chandler,"I know, me too.",neutral,5000000,"Test_Set"
Monica,"I'm",neutral,5000000,"Test_Set"
Joey,"I guess I'll get washed up then. Watch that sunrise.",neutral,5000000,"Test_Set"
Monica,"Well that's because you always sleep to noon, silly! This is what 9 looks like.",neutral,4000001,"Test_Set"
Joey,"But it's dark out.",neutral,4000010,"Test_Set"
Chandler,"Uhh, 9.",neutral,5000000,"Test_Set"
Joey,"Monica? What time is it?",neutral,5000000,"Test_Set"
Chandler,"Hi!",joy,0500000,"Test_Set"
Monica,"Hi!",joy,0500000,"Test_Set"
Joey,"London baby!",joy,0500000,"Test_Set"
Ross,"Yeah, cheerie-o!",joy,0500000,"Test_Set"
Joey,"Woo-hoo!!",joy,0500000,"Test_Set"
Chandler,"All right! Let's do it!",joy,0500000,"Test_Set"
Monica,"Yeah, okay, give that a try!",neutral,3200000,"Test_Set"
Phoebe,"Okay, okay, but Rachel's gonna be here too, can't I just ask her this stuff?",neutral,4000010,"Test_Set"
Monica,"Okay, if you need the vacuum, it's in my closet on the left-hand side. Ah, the garbage bags are next to the refrigerator",neutral,5000000,"Test_Set"
Ross,"I'm not going to do that.",neutral,5000000,"Test_Set"
Rachel,"Uh-huh.",neutral,4000010,"Test_Set"
Monica,"Really well. Yeah. Surprisingly well. Yeah, she didn't cry. She wasn't angry or sad.",neutral,3000020,"Test_Set"
Chandler,"Oh yeah? Well, how'd she take it?",neutral,3000020,"Test_Set"
Monica,"So I, I told Rachel it was just gonna be the two of us.",neutral,5000000,"Test_Set"
Joey,"Hi.",neutral,5000000,"Test_Set"
Chandler,"Hey!",neutral,3100010,"Test_Set"
Monica,"Hi.",neutral,5000000,"Test_Set"
Chandler,"Not once did we do that.",neutral,5000000,"Test_Set"
Joey,"Yeah but we won't be able to like get up in the middle of the night and have those long talks about our feelings and the future.",sadness,0050000,"Test_Set"
Chandler,"Look, I'm just gonna be across the hall, we can still do all the same stuff.",neutral,5000000,"Test_Set"
Joey,"""Can't, its not there.""",neutral,3020000,"Test_Set"
Joey,"""You wanna go over to Joey and Chandler's?""",neutral,4010000,"Test_Set"
Joey,"No more J and C's.",sadness,0050000,"Test_Set"
Joey,"No more Joey and Chan's.",sadness,0050000,"Test_Set"
Joey,"Y'know?",neutral,4010000,"Test_Set"
Joey,"God, it's gonna so weird like when I come home and you're not here.",sadness,1031000,"Test_Set"
Phoebe,"I stepped in something icky.","non-neutral",1020002,"Test_Set"
Monica,"I'll get everybody else , finally we can start celebrating my- I'm sorry, uh apparently I've opened the door to the past.",neutral,3010010,"Test_Set"
Phoebe,"Okay.",neutral,5000000,"Test_Set"
Monica,"Fair enough, now go get ready!",neutral,4100000,"Test_Set"
Phoebe,"Oh but Mon, if you touch my guitar again I'll have to pound on you for a little bit.",anger,0001400,"Test_Set"
Phoebe,"Thanks Mon!",joy,0500000,"Test_Set"
Phoebe,"Thank you!",joy,0500000,"Test_Set"
Phoebe,"Oh that's so exciting!",joy,0500000,"Test_Set"
Phoebe,"Really?!",surprise,0000050,"Test_Set"
Monica,"No, Phoebe, I'll tell you what, if you get ready now I'll let you play it at the wedding.",neutral,3000200,"Test_Set"
Phoebe,"I'm sorry, but I just wrote the best dance song for your wedding. Check this out.",neutral,3200000,"Test_Set"
Monica,"Phoebe! Come on! Let's go!  Come on!  Why aren't you dressed yet?!",anger,0000320,"Test_Set"
Rachel,"Diane Keaton.",neutral,5000000,"Test_Set"
Chandler,"Oh, come on! I don't care! Come on! Whose is it?","non-neutral",2200010,"Test_Set"
Rachel,"I don't want to say.",neutral,4001000,"Test_Set"
Chandler,"Whose is it?",neutral,5000000,"Test_Set"
Ross,"No! I made it seem like I was just calling to chat. Pretty sure, they both think I'm interested in them.",neutral,3100010,"Test_Set"
Phoebe,"You told them he was missing?","non-neutral",2001020,"Test_Set"
Ross,"No! I talked to Joey on the set, he hasn't heard from him. I-I-I talked to Chandler's parents again!","non-neutral",2001020,"Test_Set"
Rachel,"Anything?",neutral,5000000,"Test_Set"
Phoebe,"Oh.",neutral,5000000,"Test_Set"
Joey,"All right Pheebs, stick out your plate!",neutral,3100010,"Test_Set"
Monica,"Please, it's a relief is what it is, is what it is.",neutral,3000101,"Test_Set"
Ross,"Somebody seems to be missing being the hostess.",neutral,3000020,"Test_Set"
Monica,"The players.",neutral,4000001,"Test_Set"
Joey,"Oh yeah, who's playing?",neutral,3100010,"Test_Set"
Monica,"Oh, I was thinking about having people over for the game.",neutral,5000000,"Test_Set"
Ross,"Yeah-no, just that last song.",neutral,4010000,"Test_Set"
Monica,"Okay, so you were trying to play bad this whole time.",surprise,1000031,"Test_Set"
Ross,"I played bad on purpose guys.","non-neutral",2020001,"Test_Set"
Rachel,"What?",surprise,0000140,"Test_Set"
Ross,"Yeah, like I could",neutral,3020000,"Test_Set"
Phoebe,"After that? Yeah! No, I mean if I can help.",surprise,1100030,"Test_Set"
Ross,"Y'know, I'm not gonna play anymore,  would you, can you finish my set?",neutral,4010000,"Test_Set"
Ross,"Yeah, I lost it.","non-neutral",2010101,"Test_Set"
Ross,"Thank you, thanks.",joy,0500000,"Test_Set"
Rachel,"Phoebe, his music could not",neutral,4000100,"Test_Set"
Phoebe,"Because we're girls.",neutral,4000010,"Test_Set"
Phoebe,"We really weren't great at being guys, but you know why?","non-neutral",2020001,"Test_Set"
Phoebe,"Okay, y'know what, you were right, you were right.","non-neutral",2021000,"Test_Set"
Phoebe,"Wait!",surprise,0001130,"Test_Set"
Phoebe,"Wait!",fear,0003020,"Test_Set"
Phoebe,"Oh no!",surprise,0001040,"Test_Set"
Chandler,"All right, well I'm gonna put my sweats back on.",neutral,5000000,"Test_Set"
Rachel,"No, I don't.",disgust,1000103,"Test_Set"
Monica,"What, he doesn't like Josh?",surprise,1000040,"Test_Set"
Rachel,"It's Joshua.","non-neutral",1000202,"Test_Set"
Phoebe,"Who, Josh?",surprise,1000031,"Test_Set"
Rachel,"I can't believe it! He still hasn't called.","non-neutral",0010121,"Test_Set"
Chandler,"Oh yeah, that was great. Thanks to you, the hottest cocktail waitress there is quitting to teach the third grade!","non-neutral",2100101,"Test_Set"
Monica,"So, we did okay at the strip club, right?",neutral,4000010,"Test_Set"
Phoebe,"I'm really glad you guys are okay but, I just keep thinking what would happen if-if you two  actually had hooked up.",neutral,4010000,"Test_Set"
Monica,"Yeah baby!",joy,1300010,"Test_Set"
Ross,"Uh-huh.",neutral,4010000,"Test_Set"
Monica,"Are you okay?",neutral,4010000,"Test_Set"
Ross,"Great. He's doing great. Don't you worry about Chandler.",neutral,4001000,"Test_Set"
Monica,"I know! Hey, how's Chandler doin'?",neutral,4100000,"Test_Set"
Ross,"Oh my God! Monica!",surprise,0000050,"Test_Set"
Ross,"You're right, thanks for keeping me honest dad.",neutral,3020000,"Test_Set"
Ross,"He-he was with me umm, we're playing a little game, y'know? Hide and seek.",neutral,4001000,"Test_Set"
Ross,"Hi!  Hi!  Hi. Has umm, anyone seen Chandler?",neutral,4001000,"Test_Set"
Joey,"You bet! What's the part?",joy,0500000,"Test_Set"
Joey,"Awww, one of my students got an audition. I'm so proud.",joy,0400010,"Test_Set"
Joey,"But what does that gonna do...","non-neutral",2000021,"Test_Set"
Joey,"And you got a 'hate' from that?! Your taking a big leap there...","non-neutral",2000111,"Test_Set"
Joey,"I, ah, I never said hate, I was very careful about that.",neutral,4000010,"Test_Set"
Monica,"Behind my brother's back?  ... is exactly the kind of crazy thing you won't be hearing from me.","non-neutral",0000212,"Test_Set"
Rachel,"C'mon up.",neutral,4000100,"Test_Set"
Ross,"Long story, honey.",neutral,4000001,"Test_Set"
Ross,"We're here!","non-neutral",2200100,"Test_Set"
Rachel,"Oh what do you know? Virgin!","non-neutral",0000221,"Test_Set"
Monica,"Rachel! I'm never gonna think it's okay for you to cheat on your husband!","non-neutral",0010211,"Test_Set"
Rachel,"Y'know, people should be able to sleep with who ever they want, whenever",neutral,5000000,"Test_Set"
Rachel,"There shouldn't be all this rules and restrictions!","non-neutral",1100021,"Test_Set"
Rachel,"I mean sex does not have to be a big deal!","non-neutral",2100020,"Test_Set"
Rachel,"Yes!!",joy,0400010,"Test_Set"
Monica,"Y'know what? You are right?!",surprise,0200030,"Test_Set"
Rachel,"Oh my God!! Do it!! Honey, you've waited",surprise,0200030,"Test_Set"
Monica,"Y'know, give him my flower.",neutral,3101000,"Test_Set"
Monica,"He's not perfect, but umm, I think maybe I should just get it over with.",neutral,3011000,"Test_Set"
Monica,"I'm seeing this guy Roger, all right?",neutral,4100000,"Test_Set"
Monica,"I mean, y'know, I'm just waiting for the perfect guy.",neutral,5000000,"Test_Set"
Monica,"It's not like, I haven't any opportunities.",anger,2000300,"Test_Set"
Monica,"Say it louder, I don't think the guy all the way in the back heard you!",disgust,0000203,"Test_Set"
Rachel,"Oh my God! You're a 30 year old virgin!",surprise,0000050,"Test_Set"
Monica,"Of course I have! What do you think, I'm some 30 year old virgin?",anger,0000311,"Test_Set"
Rachel,"Monica. You've, you've done it right?",surprise,1000040,"Test_Set"
Monica,"Yeah I can!  And don't think I don't, because I do! I mean all the time, you betcha!",joy,0300110,"Test_Set"
Rachel,"Oh, it's so easy for you I mean, you're not married, you get to have sex with who ever you want!",disgust,0000113,"Test_Set"
Monica,"Well, you're not.",neutral,3000101,"Test_Set"
Phoebe,"Yeah, no kidding, this just proves no good can come from  having sex with Ross!","non-neutral",1010012,"Test_Set"
Monica,"Oh my god, I am losing my mind.","non-neutral",1020200,"Test_Set"
Rachel,"Yeah, I'm not so sure.",neutral,3010010,"Test_Set"
Monica,"Umm, she Rach, not it, she.",neutral,4010000,"Test_Set"
Rachel,"Oh come on, what am I gonna do, its been hours and it  won't stop crying.","non-neutral",1011200,"Test_Set"
Rachel,"Oh  oh no just stopped to throw up a little bit.","non-neutral",2010002,"Test_Set"
Monica,"It worked!",surprise,0100040,"Test_Set"
Rachel,"Ok.",neutral,4000010,"Test_Set"
Monica,"Alright here's something, it says to try holding the baby  close to your body and then swing her rapidly from side to side.",neutral,5000000,"Test_Set"
Phoebe,"Go back in time and listen to Phoebe!",anger,0000320,"Test_Set"
Phoebe,"Well, alright, we already tried feeding her, changing her,  burping her, oh try this one!",sadness,1030010,"Test_Set"
Phoebe,"Yeah, no, it was great.","non-neutral",2010101,"Test_Set"
Phoebe,"Oh, what? What was it?",surprise,0100040,"Test_Set"
Phoebe,"Oh, okay. Well, so tell me everything about my parents. Everything.",neutral,4100000,"Test_Set"
Phoebe,"Well, so, umm, anyway umm, I've been, I've been looking for my Father, and umm, have you heard from him, or seen him?",neutral,3002000,"Test_Set"
Phoebe,"No-no, sorry. Cookies are good, thanks.",neutral,5000000,"Test_Set"
Phoebe,"Yes!! Yes! Yes! Yes!! That's my Dad, that's Frank! Yeah! I'm sorry I'm getting all flingy.",surprise,0100040,"Test_Set"
Rachel,"Whoops.  Oh, hey, do you need help with that?",neutral,4000010,"Test_Set"
Rachel,"Ross's what?",surprise,2000030,"Test_Set"
Rachel,"Wow! Spinning that sounds like fun.",joy,1400000,"Test_Set"
Rachel,"Oh my God, what happened?",surprise,0002030,"Test_Set"
Ross,"Oh, my maple candy!",joy,0300020,"Test_Set"
Ross,"Thank you for a delightful stay.",joy,1400000,"Test_Set"
Chandler,"Ok, go quick!","non-neutral",2101010,"Test_Set"
Ross,"It's not the same.",neutral,3020000,"Test_Set"
Chandler,"There's a forest right outside.",neutral,4000001,"Test_Set"
Ross,"No, but I want...I want the pinecones!",joy,0301010,"Test_Set"
Chandler,"Look, we have enough, just walk away.","non-neutral",2011001,"Test_Set"
Ross,"There's something new in the bowl.",surprise,2000030,"Test_Set"
Chandler,"What?",surprise,1000040,"Test_Set"
Ross,"Oh my god.",surprise,0000050,"Test_Set"
Ross,"Oh dude, don't worry about it, I found an unattended maid's car.    We're way ahead of the game.",neutral,3200000,"Test_Set"
Chandler,"Oh, I didn't factor in the room tax.",surprise,1010030,"Test_Set"
Chandler,"Oh we did, and you still have all your lamps.",neutral,4100000,"Test_Set"
Joey,"Uh, you gotta press the button.",neutral,4000100,"Test_Set"
Phoebe,"Wait! What?! No!! Elevator!! No!",anger,0000500,"Test_Set"
Phoebe,"Oh yeah! I-I would like that.",joy,1300010,"Test_Set"
Phoebe,"Uh-huh, yeah.",neutral,5000000,"Test_Set"
Phoebe,"Oh.",neutral,4000010,"Test_Set"
Phoebe,"How about you?",neutral,5000000,"Test_Set"
Phoebe,"Let's just say there was a typographical error with a sex manual.","non-neutral",2000111,"Test_Set"
Phoebe,"It's kind of embarrassing.",neutral,4001000,"Test_Set"
Phoebe,"Well, it's a long story.",neutral,3020000,"Test_Set"
Phoebe,"Sure! I feel so bad for you; I broke my leg once too.",sadness,1030010,"Test_Set"
Phoebe,"Oh down please.  I-I hate to be a ball buster can I just do it?","non-neutral",2002100,"Test_Set"
Phoebe,"Hi.",neutral,5000000,"Test_Set"
Joey,"Hey I got one! I got one!",joy,0300020,"Test_Set"
Ross,"Okay, good bye!",anger,1000301,"Test_Set"
Rachel,"Yeah. Oh! Was how you invented the cotton gin?!",neutral,3200000,"Test_Set"
Monica,"What-what was it you were gonna tell us?",neutral,3101000,"Test_Set"
Rachel,"Yeah, come here!",neutral,4000010,"Test_Set"
